#{"t_start": 1650575985.343016, "env_id": "NewAnt-v2"}
r,l,t
-59.403049,53,0.215416
-3.345057,34,0.294494
-13.654702,11,0.320698
-118.371337,159,0.694447
-1106.412319,1000,3.107343
-45.951478,58,3.246199
-73.792262,156,3.61979
-70.555664,55,3.751792
-65.70706,42,3.852485
0.416739,15,3.888355
-108.985286,122,4.181022
-20.06618,17,4.221595
-136.557555,149,4.576292
-112.183886,82,4.772492
-85.121883,64,4.925927
-33.59281,57,16.413234
-45.266601,20,16.462566
-72.352334,52,16.58739
-5.703376,9,16.609136
-3.416289,16,16.648041
-21.001684,25,16.708204
-31.802777,29,16.778114
-31.365124,20,16.826104
-21.099887,20,16.873793
-48.379306,62,17.022824
-142.791685,110,17.285327
-76.444674,55,17.417945
-12.260647,25,17.477245
-22.554105,44,17.582162
-37.628553,38,17.672289
-22.88377,31,17.746837
-38.793916,44,17.852701
-66.060013,65,18.009791
-12.997791,23,18.065386
-37.057732,30,18.138162
-26.907227,28,18.206569
-123.326995,125,18.505398
-26.706969,36,18.592506
-6.842888,15,18.629002
-93.577266,139,18.965085
-1116.31648,1000,32.604953
-82.055814,97,32.837183
-39.259233,88,33.049301
-57.028056,95,33.277231
-34.010397,54,33.406561
-74.807351,53,33.533866
-68.462585,60,33.677671
-29.481647,52,33.802819
-38.755164,63,33.954682
-15.133446,23,34.011199
-42.567757,61,34.158504
-18.518847,16,34.197589
-82.258625,82,34.395442
-115.733777,80,34.589202
-4.286519,21,34.639558
-17.786604,31,34.713757
-129.861588,107,34.970077
-1043.08608,1000,37.406796
-11.630391,40,48.692742
-101.197748,52,48.820194
-972.4241,1000,51.256621
-36.440279,30,51.327944
-21.803392,12,51.35667
-984.802717,1000,64.917185
-35.085408,40,65.014681
-16.844154,12,65.043845
-67.836895,62,65.193467
-86.338553,92,65.416177
-32.755776,69,65.585689
-19.993289,23,65.641112
-22.865707,25,65.701362
-21.761862,22,65.754941
-34.576499,40,65.851265
-19.793201,35,65.935966
-67.082357,102,66.181951
-7.963427,12,66.210963
-53.872132,80,66.405257
-93.828066,94,66.633599
-66.757632,61,66.781666
-21.741441,23,66.837747
-55.193301,40,66.935359
-58.004875,31,67.010719
-18.328277,42,67.114364
-13.367249,26,67.17729
-113.881949,144,67.528642
-47.154599,43,67.63374
-62.426358,55,67.768262
4.286685,18,67.81235
-941.446922,1000,81.463701
-32.162994,54,81.592899
-24.8147,27,81.658177
-961.12247,1000,84.08002
-29.682062,17,84.121038
-62.380175,33,84.199981
-899.193186,1000,97.912339
-20.524011,13,97.94418
-60.126558,52,98.071413
-14.552042,24,98.129545
-61.493547,52,98.254694
-300.192806,254,98.864169
-47.67626,29,98.934096
-176.95552,100,99.173289
-27.838508,18,99.217023
4.241687,20,99.265086
-24.044669,17,99.305736
-36.309303,23,99.361467
-41.704464,63,99.51279
-101.462131,71,99.684253
-76.849214,49,99.802275
-11.041167,9,99.824169
-60.10949,79,100.013424
-10.825267,18,100.05605
-13.59911,14,100.089898
-956.065602,1000,113.680859
-19.916586,24,113.738756
-40.499262,35,113.823149
-8.160215,16,113.861724
-41.316411,39,113.95541
-118.922577,98,114.189209
-18.274439,90,114.405236
-101.949174,89,114.618608
-17.480719,12,114.647549
-45.796149,32,114.724827
-21.447634,18,114.768623
-21.719339,31,114.843423
-5.45916,38,114.935912
-59.038073,93,115.159694
-42.741712,63,115.310598
-127.846659,145,115.658245
-917.874103,1000,118.085632
-100.290593,84,129.434857
-929.779728,1000,131.864164
-16.267588,16,131.902387
-67.249681,46,132.012887
-44.709964,50,132.132802
-29.535795,25,132.193549
-66.120102,55,132.327218
-84.391473,72,132.501548
-94.746477,85,132.706458
-50.139138,47,132.819759
-7.980622,17,132.861006
-166.462988,121,133.15352
-15.875708,14,133.187148
-6.976489,20,133.236111
-26.114226,27,133.300791
-11.598774,22,133.353693
-27.032389,30,133.426744
-31.897372,21,133.477704
-88.504459,63,133.629316
-876.224072,1000,147.188234
-66.607021,54,147.317422
-95.46583,83,147.516586
-36.72923,42,147.616796
-42.870007,27,147.680894
-17.319105,13,147.712039
-73.389671,63,147.861202
-984.784712,1000,150.291875
-25.151502,22,150.345547
-77.821495,54,150.476443
-119.811552,54,161.901554
-111.106927,76,162.086796
-92.070113,79,162.278556
-14.95317,20,162.326889
-21.870734,18,162.36998
-24.439914,59,162.512214
-49.744396,69,162.677861
-21.744874,55,162.809764
-56.946031,38,162.901049
-122.908315,101,163.142282
-25.713565,74,163.320335
-14.181338,13,163.351888
-75.573437,77,163.536568
-23.163274,19,163.582416
-13.98335,12,163.61139
-176.654476,142,163.956289
-5.245881,12,163.985617
-66.832045,78,164.175864
-895.368169,1000,166.608605
10.909496,62,177.928302
-47.504537,45,178.035954
-55.411691,28,178.102364
-34.483229,27,178.166889
-58.141551,31,178.240757
-25.55835,31,178.315194
-889.07725,1000,180.733419
-8.544417,19,180.779798
-114.42886,139,181.113636
-22.852588,21,181.164694
-22.33695,29,181.235
-67.844391,65,181.392449
-17.218701,10,181.416795
-851.579057,1000,195.112092
-10.979425,14,195.146503
-13.203656,23,205.520418
-27.129703,52,205.646126
-40.506207,31,205.720001
-13.231354,11,205.746114
-8.827599,11,205.771951
-763.691186,1000,208.162056
