#{"t_start": 1650575985.3349822, "env_id": "NewAnt-v2"}
r,l,t
-81.402905,92,0.313953
-47.4408,23,0.368305
-45.099979,48,0.48066
-41.976293,48,0.593012
-38.371348,28,0.659552
-60.914579,35,0.741978
-77.203244,74,0.916241
-47.461454,26,0.977522
-78.327097,64,1.130531
-34.887907,70,1.298748
-84.0674,99,1.53752
-68.327232,45,1.646684
-1093.919887,1000,4.061042
-39.790492,33,4.1402
-18.102836,29,4.209847
-18.468555,59,4.350227
-59.211253,78,4.53623
-155.936364,86,4.74158
-2.962785,16,4.779839
-13.271764,25,4.839803
-95.333468,97,16.423779
-12.800405,31,16.4989
-64.377194,55,16.631407
8.351032,60,16.77599
-20.246347,55,16.907896
-84.98053,144,17.252314
-46.269714,29,17.321806
-10.18663,15,17.358023
-27.8762,56,17.492027
-83.808795,62,17.639309
-1028.646493,1000,20.067752
-31.812985,17,20.109575
-54.675299,41,20.209284
-99.351405,89,20.4255
-56.052922,48,20.542052
-17.744376,16,20.581728
-12.307853,24,20.640208
-43.955409,30,20.712917
-105.15047,82,20.912637
-41.724614,27,20.977909
-1013.834206,1000,34.588346
-83.925251,46,34.699733
-41.153034,30,34.772348
-53.243951,65,34.927405
-1010.613696,1000,37.362592
-1002.998918,1000,50.992001
-33.447053,25,51.052883
-36.033477,30,51.125347
-16.539774,26,51.187429
-124.756747,76,51.369203
-60.234937,50,51.487976
-31.454594,23,51.543342
-40.550381,74,51.721123
-57.584266,67,51.881793
-25.829497,23,51.937423
-129.821868,79,52.127283
-28.031409,24,52.185798
-18.363506,21,52.236742
-118.715167,94,52.463718
-22.119911,21,52.514588
-24.981452,15,52.55121
-0.261712,16,52.589804
-25.806232,42,52.691191
-67.150208,69,52.857932
-44.422485,27,52.923499
-67.03435,85,53.130475
-76.971146,67,53.294094
-15.30019,28,53.362607
-19.537488,33,53.442547
-78.610885,75,53.626175
-0.406737,34,64.848107
-23.681237,26,64.912242
-22.683726,34,64.995797
-2.522948,14,65.029646
-14.743057,13,65.061153
-49.002909,64,65.215869
-973.789066,1000,67.646511
-57.646519,69,67.814812
-85.224338,168,68.220885
-18.091443,47,68.335763
-17.785468,22,68.389147
-13.135706,24,68.446749
-177.347976,199,68.928826
-14.493565,11,68.955446
-34.54344,44,69.062373
-44.637314,32,69.138808
-17.466751,28,69.206289
-1021.023615,1000,82.857987
-29.370456,61,83.006183
-6.875037,11,83.032699
-77.872204,82,83.230102
-33.023097,31,83.305001
-12.296432,16,83.343837
-54.263108,20,83.392544
-52.114309,59,83.534812
-29.290407,27,83.6006
-42.229389,36,83.686889
-37.969309,14,83.721005
-17.666488,59,83.8638
-18.49001,14,83.8979
-25.254573,35,83.983463
-186.00159,206,84.479422
-32.422342,36,84.566778
-950.523499,1000,98.281713
-31.34724,49,98.399489
-1.476542,11,98.426034
-148.137223,108,98.684409
-38.916731,41,98.782631
-32.286359,30,98.854552
-13.816305,38,98.9467
-43.609076,29,99.015954
-133.550514,137,99.34471
-45.258745,51,99.46726
-22.102934,46,99.578567
-80.194711,63,99.730695
-72.2181,46,99.84164
-48.105515,59,99.983037
-937.111984,1000,113.570661
-22.254513,17,113.612959
-32.697322,31,113.688097
6.356277,27,113.753704
-26.493647,72,113.926731
-99.094576,92,114.146298
-35.362201,38,114.237737
-25.189772,20,114.285956
