#{"t_start": 1650575985.3217618, "env_id": "NewAnt-v2"}
r,l,t
-38.440875,29,0.179595
-95.568362,55,0.307685
-11.845354,19,0.353112
-17.382642,28,0.418441
-80.651214,76,0.596345
-22.272381,67,0.754475
-66.377614,80,0.943269
-304.358144,285,1.627623
-12.35319,12,1.656908
-35.117359,17,1.698225
-143.023138,133,2.019281
-71.513392,48,2.135339
-46.694889,38,2.227657
-66.252887,36,2.315895
-75.844908,56,2.451896
-21.104157,15,2.488279
-8.718663,11,2.514967
-110.792148,82,2.713684
-101.189154,96,2.947857
-38.804591,33,3.027679
-59.53271,48,3.145285
-53.262821,54,3.273941
-54.143215,42,3.374848
-11.047753,22,3.42761
-27.020331,33,3.506112
-13.534796,25,3.565521
-95.808681,97,3.798902
-15.689394,19,3.844283
-22.872359,17,3.884959
-44.678077,68,4.047482
-38.480588,25,4.107471
-273.476634,182,4.541446
-44.181067,54,4.670125
-37.04109,69,4.835536
-6.928655,14,4.869576
-36.927461,32,4.946055
-36.808086,28,5.012908
-29.261562,23,16.418722
-3.43106,21,16.470616
-50.099945,50,16.590839
-74.466407,53,16.718719
-16.203064,16,16.757252
-39.077008,28,16.824754
-58.392872,60,16.968752
-100.194873,50,17.088459
-40.775389,28,17.155645
-11.877859,11,17.182432
-31.239261,14,17.215435
-15.25871,14,17.24835
-64.969497,127,17.552264
-5.162423,17,17.592747
-89.19372,72,17.764555
-52.466013,34,17.846586
-31.361819,38,17.938411
-10.931481,13,17.969483
-38.300174,32,18.047137
-57.04116,73,18.224296
-43.711593,37,18.312873
-109.635121,98,18.54794
-35.243741,33,18.627608
-27.037989,87,18.837713
-15.611199,24,18.895169
-1059.511798,1000,32.534535
-145.911542,153,32.903693
-17.7592,12,32.932574
-37.150154,49,33.050248
-23.772634,18,33.093919
-220.077471,212,33.602593
-55.288779,76,33.784757
-102.677412,46,33.895224
-43.090123,50,34.016613
-44.436283,50,34.13751
-17.140477,47,34.252015
-26.229982,31,34.326666
-128.970274,101,34.569173
-36.93242,40,34.667138
-70.153032,30,34.73916
-35.96994,15,34.775083
-5.982588,8,34.794804
-48.134962,59,34.93535
-88.357458,72,35.107928
-34.913531,40,35.204793
-18.655168,21,35.256203
-36.15445,72,35.430794
-9.813552,14,35.465076
-29.292976,24,35.524124
-130.91845,92,35.74857
-24.701135,15,35.784804
-20.386,29,35.854999
-17.485746,24,35.913519
-85.017148,49,36.032766
-19.770564,16,36.071833
-121.148919,81,36.26738
-86.95926,89,36.483408
-26.230111,20,36.531462
-63.249872,64,36.687605
-22.377563,29,36.758499
-50.419054,28,36.826816
-989.364243,1000,50.466752
-138.15174,118,50.750868
-64.703948,33,50.830532
-23.250771,23,50.886292
7.042181,20,50.934671
-36.958715,27,50.99979
-115.979705,91,51.219416
-100.719654,72,51.391466
-48.438813,37,51.479146
-22.485049,19,51.525027
-268.964465,250,52.125439
-75.737212,43,52.230033
-54.864176,55,52.36258
-5.985529,13,52.394044
-18.422268,32,52.471526
-18.052763,35,52.556518
-28.607161,49,52.67508
-48.352323,47,52.788534
-21.973734,25,52.848698
-47.590965,41,52.948354
-1078.999645,1000,66.518281
-12.105939,19,66.56478
-36.551231,21,66.615102
-1008.096528,1000,69.046147
-76.878732,79,69.235777
-13.147063,22,69.289209
-11.118286,15,69.324897
-18.70876,33,69.403851
-106.748581,111,69.671282
-32.816473,27,69.736422
-49.517591,28,81.038659
-15.929812,14,81.072555
-41.304451,68,81.236543
-88.448777,82,81.434838
-26.364723,16,81.473999
-48.58226,31,81.548662
-97.42589,79,81.738925
-52.176755,48,81.854584
-74.258274,68,82.019245
-17.817342,18,82.062762
-10.561726,12,82.091817
-25.212073,16,82.130527
-18.781328,19,82.176508
-162.868693,122,82.472037
-947.452252,1000,84.895586
-4.946214,15,84.932666
-37.143039,30,85.006378
-10.276016,43,85.110727
-25.126593,20,85.159081
-34.003571,28,85.227268
12.154818,49,85.346725
-81.354421,59,85.490558
-25.101802,29,85.561975
-175.180525,156,85.940737
-7.443336,15,97.250931
-1012.624261,1000,99.671056
-84.596855,67,99.832248
-32.807004,39,99.9266
-104.885522,83,100.124823
-57.975828,42,100.225448
-86.47949,73,100.400676
-87.196436,86,100.610105
-9.271038,13,100.641652
-20.626618,19,100.688084
-17.795446,40,100.78526
-28.487834,25,100.846586
-21.216714,16,100.885664
-19.225935,34,100.968777
-45.311921,34,101.051415
-37.908908,30,101.12461
-10.427419,22,101.178564
-43.763864,49,101.297461
-1025.442614,1000,114.876068
-20.816552,16,114.915263
-32.080561,42,115.016507
-21.025573,24,115.074271
-50.546457,41,115.1726
-49.660334,51,115.294978
-60.256357,55,115.426635
-6.168448,20,115.474454
-83.91329,78,115.661672
-110.969939,85,115.864961
-230.304402,131,116.181948
-923.70951,1000,129.760136
-121.259958,115,130.039023
-73.264188,94,130.266857
-45.705593,23,130.322972
-63.856743,100,130.56389
-9.812008,12,130.59332
-13.791994,50,130.714533
-45.232057,63,130.867458
-13.649523,46,130.979593
-42.210791,37,131.068834
-29.265931,48,131.184957
-83.250251,68,131.350165
-32.572435,25,131.411114
-18.46862,32,131.488969
-949.724554,1000,133.907841
-946.124303,1000,147.465029
0.151634,13,147.496329
-5.672316,11,147.522723
-15.871077,18,147.56606
-63.833417,67,147.724837
-81.651924,48,147.839293
-100.852538,94,148.062396
-8.44866,13,148.09308
-30.754377,46,148.202743
-19.097848,28,148.270082
-86.313005,93,148.494662
-64.347688,122,148.790943
-58.791486,45,148.9014
-113.040713,135,149.229054
-73.871747,45,149.338702
-56.890334,65,149.497231
-22.151717,25,149.558502
-894.469736,1000,163.277988
-49.652147,35,163.362445
-19.387619,58,163.50101
-25.865112,14,163.534792
-8.605024,27,163.600169
-14.027947,34,163.682896
-24.328183,21,163.733852
11.179115,35,163.818357
-34.508349,37,163.908664
-865.855203,1000,166.345567
-2.159768,14,166.379155
-22.941258,42,166.479803
-18.743548,43,166.582886
-19.756021,25,166.643797
-14.000148,31,166.717291
-18.972924,11,166.743395
-29.733667,54,178.044039
-43.878471,35,178.127453
-26.422648,17,178.16803
-39.457823,47,178.280656
-61.800432,39,178.373458
-21.256544,25,178.432913
-67.127449,82,178.628469
-9.783221,12,178.657405
-1.663395,13,178.68835
-67.922549,62,178.837272
-37.078375,76,179.020628
-50.497267,45,179.127801
-32.987438,24,179.185968
-6.235104,23,179.241647
-110.061715,59,179.383726
-8.233509,22,179.437056
-34.496652,46,179.548848
-68.311328,94,179.778006
-66.440633,54,179.910321
-30.365362,34,179.993093
