#{"t_start": 1650576003.035198, "env_id": "NewAnt-v2"}
r,l,t
-31.484402,29,1.101867
-21.613059,55,1.230467
-10.943269,19,1.275781
-26.008343,28,1.340505
-93.983738,76,1.515903
-74.686968,67,1.671989
-55.070758,80,1.858181
-438.18221,285,2.526062
-28.097962,12,2.558033
-18.822844,17,2.598099
-135.894925,133,2.90867
-16.571699,48,3.021971
-47.40046,38,3.111662
-28.542869,36,3.197173
-91.289139,56,3.329402
-15.934201,15,3.364731
-8.508347,11,3.390705
-61.618593,82,3.584485
-169.473276,96,3.816289
-26.14608,33,3.893461
-48.765724,48,4.006498
-60.567081,54,4.131468
-50.866558,42,4.228853
-15.323674,22,4.28017
-21.123113,33,4.35597
-34.428871,25,4.413415
-125.303574,97,4.639347
-17.997913,19,4.683435
-17.301876,17,4.72281
-57.332372,68,4.879297
-46.662083,25,4.937645
-209.045773,182,5.355882
7.719456,54,5.480397
-74.330569,69,5.640096
-13.639192,14,5.672917
-26.615379,32,5.747781
-18.68921,28,5.814328
-43.719871,50,17.645771
-39.311172,26,17.706672
-35.215668,19,17.750738
-344.736409,256,18.349135
-21.09595,18,18.39223
-51.026797,48,18.504863
-12.620182,37,18.59093
-29.636503,20,18.637699
-18.714239,13,18.668529
-19.768361,41,18.764678
-22.359139,18,18.807137
-126.789485,152,19.163764
-115.709805,125,19.455335
-78.436584,94,19.673841
-125.984345,72,19.841263
-145.235639,143,20.171978
-4.112696,24,20.227737
-231.016608,187,20.661059
-26.558379,31,20.732562
-1106.882168,1000,34.12694
-45.653128,28,34.192572
-29.686678,24,34.248797
-26.312737,15,34.284432
-40.667333,47,34.394579
-81.602166,93,34.61244
-104.218648,87,34.816133
-58.227365,81,35.006528
-34.756625,24,35.063192
-1060.13679,1000,37.42872
-79.016219,67,37.585261
-13.738366,17,37.625657
-65.365274,38,37.715185
-162.829402,173,38.123999
-15.629093,15,38.159695
-1008.122549,1000,51.481759
-29.493123,72,51.651391
-25.411957,37,51.740014
-34.63827,34,51.820082
-23.078878,25,51.878929
-142.803788,126,52.174907
-20.860201,33,52.252165
-9.939355,43,52.3523
-24.961914,31,52.424925
-46.648677,32,52.499691
-20.410867,9,52.520785
-1059.925689,1000,65.8967
-47.872218,23,65.951137
-29.478509,28,66.017184
-13.626948,46,66.125532
-13.401522,10,66.149258
-86.898913,55,66.278989
-75.496059,68,66.439039
-22.745494,12,66.467399
4.537447,22,66.519112
-31.573333,55,66.648852
-26.940474,36,66.734878
-1074.180053,1000,69.095562
-262.588335,246,69.672425
-97.29919,60,69.813581
-31.517376,23,81.105234
-75.138955,47,81.217019
-89.497488,71,81.383279
-18.060848,23,81.437199
-29.249085,36,81.522516
-30.771846,39,81.614254
-3.586691,21,81.664704
-25.425717,34,81.745255
-23.400554,14,81.777701
-149.36277,110,82.032489
-13.293918,14,82.064828
-17.349114,24,82.120369
-92.0025,91,82.330659
-37.366212,46,82.437589
-31.924261,32,82.51124
-37.210243,56,82.640814
-126.462369,88,82.845831
-1031.716326,1000,85.226687
-49.88322,24,85.284073
-114.353867,117,85.555016
-72.835731,50,85.671297
-28.998503,33,85.748746
-27.197541,28,85.813718
-1.570274,21,85.862866
-51.24631,25,96.929875
-23.940088,20,96.976429
-138.000242,160,97.345914
-14.364459,24,97.401968
-158.569172,196,97.858375
-79.245093,56,97.989675
-16.298361,17,98.029576
-61.117573,124,98.320976
-4.108515,20,98.368284
4.55506,37,98.455019
-63.137232,103,98.697471
-22.308482,17,98.738518
-35.561431,23,98.792967
-28.061614,63,98.941486
-25.051637,55,99.070808
-39.964273,54,99.197272
-25.951382,17,99.236946
-16.807292,22,99.288494
-88.720093,94,99.508637
-52.273188,48,99.621811
-48.231775,42,99.721143
-36.163535,36,99.805661
-34.853196,48,99.918468
-148.879801,136,100.237298
-8.048255,11,100.263258
-64.146592,78,100.444981
-33.548118,27,100.508308
-50.60635,40,100.60253
-220.76959,236,101.157858
-139.416071,80,101.346596
-38.714625,39,101.437555
-7.385636,18,101.479678
-25.088199,43,101.579838
23.266227,40,101.673293
-14.226163,11,101.698912
-48.734086,101,113.181311
-942.497248,1000,115.545817
-27.199697,36,115.631422
-23.132356,25,115.691545
-68.311222,36,115.777296
-32.659575,21,115.826509
-36.602802,23,115.881655
-3.579512,40,115.976347
-29.951275,20,116.02293
-28.179294,22,116.074348
10.40858,39,116.164974
-139.573519,116,116.434627
-27.482789,97,116.660356
-36.371167,50,116.777561
-27.12797,35,116.859446
-131.925085,111,117.11651
-9.227495,16,117.153589
-19.008024,39,117.244332
-168.666607,119,117.522017
-4.74247,27,117.585633
-17.914234,16,117.622917
-42.034395,45,117.728073
-238.576514,132,129.069459
-21.513837,16,129.107054
-2.332636,13,129.137272
-26.452445,53,129.259629
-61.09368,70,129.423406
-93.21313,60,129.564565
-956.44042,1000,131.92077
-6.124265,15,131.955691
-90.121619,80,132.142668
-107.273475,120,132.42319
-955.39491,1000,145.954884
-119.474723,81,146.143829
-8.881761,61,146.285117
-33.827817,56,146.415225
-30.151393,35,146.496772
-975.744141,1000,148.860344
-102.228425,101,149.09466
-21.745215,59,149.232543
-16.636597,98,149.460799
-77.957112,61,149.602753
-34.475906,25,160.840605
-56.780072,52,160.961619
-51.712762,42,161.059555
-192.15213,144,161.395879
-9.919987,36,161.480628
-22.102465,40,161.57412
5.870024,36,161.659838
-24.453945,26,161.720472
-49.314665,34,161.799813
-69.262149,40,161.893162
-49.500223,64,162.043232
-39.539402,42,162.141699
-97.677506,57,162.275153
-66.643749,73,162.446221
-36.975191,32,162.521437
-93.255957,46,162.629838
-4.706841,28,162.695626
-129.515963,102,162.935421
-44.611178,51,163.055231
-45.133476,71,163.22086
-27.683632,55,163.350081
-8.504476,62,163.495135
-154.917522,102,163.734931
-28.122137,67,163.89248
-15.318773,16,163.930307
-3.428788,23,163.984159
-20.614995,27,164.04789
-22.268109,25,164.106911
-158.467483,125,164.400949
-5.126735,13,164.431453
-10.361523,52,164.553498
-15.979352,31,164.626731
-11.465385,25,164.685713
-73.947924,94,164.906161
-13.675813,73,165.077402
-45.897612,49,165.193112
-19.467254,18,165.23563
-123.02366,126,165.531536
-94.138718,69,176.787135
-51.841762,46,176.895206
-21.819159,25,176.954628
-33.162361,42,177.053655
-92.783504,128,177.353445
-16.037242,19,177.398428
-159.109027,129,177.701407
-20.406184,63,177.848859
-27.575196,33,177.92732
-26.419146,33,178.005399
-37.254677,29,178.073873
-40.828312,41,178.170607
-16.871853,51,178.289357
-53.403665,63,178.437506
-54.143007,36,178.521912
-8.403407,41,178.61825
-40.997206,30,178.688687
-20.47519,17,178.728282
-64.080956,51,178.848176
-6.23106,92,179.064343
-2.078801,33,179.141567
-94.257517,84,179.337769
-74.656238,51,179.457597
-27.922046,67,179.614394
-826.244587,1000,193.146767
-42.182233,42,193.246229
-28.46994,36,193.331011
-164.568195,141,193.662737
-871.942795,1000,219.625744
-66.01083,50,219.743317
-101.377691,120,220.024792
-26.018726,31,220.097981
-25.209223,33,220.175015
-140.027946,138,220.496341
-55.123829,26,220.556504
-7.499873,11,220.582046
-59.315091,55,220.710097
-8.020356,38,220.799434
-890.1378,1000,234.341501
-5.366074,11,234.367249
-53.638098,76,234.545137
-68.474129,45,234.650239
-70.555305,38,234.738952
-101.061071,77,234.919088
-112.632965,61,235.061419
-49.458706,64,235.210926
-14.589444,61,235.353727
-15.014637,10,235.377174
1.871089,30,235.447715
-67.183014,54,235.573421
-15.975743,17,235.613345
-37.422158,43,235.714127
-17.860112,78,235.896136
-41.737213,39,235.987468
-57.171398,73,236.15604
-34.150198,34,236.235394
-11.041756,17,236.275168
0.411957,18,236.317098
-23.620073,29,236.384053
-37.096586,38,236.472309
-5.770871,19,236.516022
-35.334303,61,236.658142
-42.787775,51,236.775558
-5.209302,10,236.798989
-37.752258,67,236.954914
-872.258848,1000,250.191917
-21.325697,32,250.266929
-23.523532,25,250.325474
-32.895597,25,250.38376
-27.471889,21,250.432999
-143.693993,139,250.756781
-111.073627,83,250.948519
-63.790047,66,251.101307
-2.551313,27,251.164451
-2.627145,24,251.220469
-5.697639,36,251.303857
-64.630616,80,251.489017
-7.774313,12,251.517279
-64.243724,47,251.626765
-802.205447,1000,265.144
-14.269501,15,265.179712
-16.586262,9,265.200704
-13.650615,15,265.236172
-6.166055,36,265.319849
-29.306655,25,265.378226
-30.640876,40,265.471204
-824.474197,1000,267.816702
-18.56455,61,267.960441
-619.139475,716,280.800722
-17.760163,15,280.835819
-28.021257,40,280.929745
-72.436297,94,281.147301
-13.822912,24,281.203475
-17.956746,17,281.243739
-8.868753,98,281.473135
-32.739227,22,281.524297
-22.93489,94,281.744861
-17.642751,33,281.821999
-38.862196,28,281.887546
-8.412137,11,281.913469
-22.638651,38,282.003469
-157.314638,211,282.493949
-72.951556,82,282.684993
-789.381254,1000,296.295107
-11.91102,28,296.361353
-49.784415,38,296.450349
2.618746,16,296.487813
-52.736128,55,296.616179
-39.539373,67,296.773708
-23.971972,18,296.816261
-8.535836,14,296.849378
-29.705262,30,296.92074
-21.06016,71,297.090045
-19.590074,50,297.208427
-65.713685,72,297.380064
-17.191262,22,297.432717
-64.135306,68,297.593828
-47.3055,60,297.736847
-36.773076,63,297.88659
-33.763644,54,298.014297
1.777252,36,298.099758
-46.865506,32,298.175728
-22.5635,38,298.265278
-6.994922,9,298.286646
-63.577092,122,298.576568
-29.811578,33,298.654761
-29.018338,34,298.735307
-38.215377,38,298.826278
-42.768875,34,298.907922
-105.256638,91,299.121307
5.264952,54,299.24698
-57.484391,70,299.408705
-22.805087,22,299.459988
-747.467431,1000,312.973285
-17.711134,15,313.00856
-27.349656,22,313.060117
-52.229767,87,313.263961
-25.509185,30,313.333715
-24.66667,36,313.417674
-83.264551,111,313.67782
-14.64187,15,313.713056
-28.202277,18,313.755423
-751.271184,1000,316.11
-24.524074,50,316.226918
0.16227,17,316.266279
-41.077523,71,316.431394
-28.651728,32,316.506138
-0.413174,13,316.536819
-42.746721,44,316.638931
-40.953506,50,316.755095
-25.074761,39,328.089406
-37.270439,50,328.203738
-94.462793,67,328.359245
