#{"t_start": 1650576003.048205, "env_id": "NewAnt-v2"}
r,l,t
-157.530364,92,1.236857
-28.145468,23,1.290915
-10.973757,48,1.402111
-68.932043,48,1.51284
-34.072934,28,1.578205
-16.372956,35,1.659733
-66.239648,74,1.831423
-14.063051,26,1.892187
-65.743765,64,2.043652
-76.830334,70,2.207382
-76.831294,99,2.438483
-42.846165,45,2.548205
-1053.687203,1000,4.89209
-40.232133,33,4.96898
-24.745294,29,5.036075
-16.439716,59,5.171536
-52.70225,78,5.35051
-121.223095,86,5.548613
-18.655696,16,5.585862
-18.043091,25,5.64389
-152.62121,89,17.566999
-31.696162,33,17.645307
-24.937429,67,17.80092
-73.914845,85,17.996436
-16.41933,14,18.029151
-7.342274,28,18.095824
-0.258367,18,18.139433
-18.211121,21,18.188522
-21.199654,20,18.235419
-50.439681,39,18.326962
-46.442661,36,18.412781
-24.684116,20,18.459415
-48.558449,29,18.527105
-46.063203,43,18.627671
-86.64373,98,18.857951
-57.868124,50,18.974688
-122.683911,82,19.168112
-29.836012,47,19.278067
-35.180394,28,19.343657
-12.534192,37,19.428777
-27.551471,22,19.479886
-9.406531,26,19.540317
-39.752622,83,19.733476
-185.796856,219,20.240974
-43.171301,33,20.317588
-162.429898,103,20.555721
-8.141131,13,20.58558
-18.757158,31,20.657851
-140.528882,133,20.966456
-25.936389,27,21.02935
-68.473132,60,21.169677
-80.760558,59,21.307771
-70.70473,88,21.51389
-30.151035,33,21.590888
-17.439395,24,21.647024
-100.5253,94,21.866701
-30.304469,20,21.913559
-4.444116,20,21.960493
-28.780534,19,22.004869
-105.65291,100,22.239728
-50.778838,40,33.383234
-49.860913,31,33.457038
-25.177212,36,33.541576
-1060.148559,1000,35.897355
-174.227855,94,36.120441
-10.372062,15,36.156197
-3.014224,14,36.189503
-27.204994,57,36.323809
-1045.706657,1000,49.658229
-15.338662,31,49.730877
-23.779401,19,49.775317
-60.518296,58,49.910608
-53.501978,50,50.026489
-17.347011,13,50.057462
-117.144181,77,50.237538
-114.194181,78,50.419151
-126.22878,124,50.710851
-14.879551,9,50.732061
-9.589808,13,50.762626
-19.478527,27,50.826594
-76.802667,104,51.06947
-20.898254,70,51.234838
-45.174853,45,51.341032
-9.908155,25,51.399982
-7.402418,10,51.423898
-49.136945,65,51.577501
-40.117619,48,51.691115
-44.08047,33,51.769594
-43.411548,69,51.932136
-36.097993,37,52.018507
-60.36021,28,52.084311
-58.061405,64,52.234625
-21.934038,54,52.360889
-30.501016,21,52.409813
-163.645213,122,52.695766
-168.370888,140,53.026094
-190.369727,107,53.276814
-59.565041,61,53.41821
-22.172395,26,53.478697
-7.491312,17,53.518711
-24.34199,13,53.549478
-85.319697,84,53.745681
-19.489085,13,53.776253
-8.198168,12,53.804837
-72.6282,86,65.029677
-60.973688,45,65.136472
-49.735688,48,65.248951
-116.416731,136,65.570771
-232.404438,153,65.933669
-82.864416,38,66.023786
-28.665766,49,66.139241
-45.689187,43,66.240037
-6.766259,13,66.27121
-25.576982,22,66.322984
-79.1316,85,66.523103
-63.939571,63,66.672181
-190.47019,135,66.990753
-962.227314,1000,69.350987
-120.78618,104,69.59437
12.7244,29,69.662425
-68.770239,45,69.767998
-44.88115,60,81.146877
-16.033345,14,81.180473
-12.849288,11,81.206979
-114.075682,88,81.412673
-82.419291,96,81.639858
-105.823222,103,81.881266
-23.092757,31,81.953128
-71.911198,89,82.158523
-38.098417,62,82.301573
-229.315754,176,82.710057
-33.528705,17,82.749833
-7.756193,12,82.77754
-55.035233,34,82.856679
-1020.455805,1000,85.23848
-74.96471,54,85.365072
-1019.212093,1000,98.706497
-76.531892,47,98.818253
-993.62069,1000,101.166914
-41.946862,52,101.288857
-40.004087,53,101.413193
-166.762086,154,113.019384
-18.156804,30,113.090043
-77.524364,55,113.217334
-40.474979,36,113.302215
-71.90809,111,113.562321
-964.024286,1000,115.932905
-123.477995,142,116.263722
-85.748666,77,116.443228
-37.507275,44,116.54604
-59.554884,44,116.648102
-52.077579,45,116.752857
-2.013322,21,116.802549
-153.489024,111,117.059776
-863.307477,1000,130.436108
-72.330069,39,130.528691
-21.123925,25,130.587909
-156.902522,117,130.86231
-35.561642,41,130.959199
-57.648423,41,131.056201
-71.345032,39,131.147961
-65.736135,44,131.253352
-39.249459,36,131.336856
-45.848593,56,131.467755
-27.148312,39,131.559711
-86.063476,52,131.681659
-83.967388,51,131.802906
-44.105088,67,131.959758
-14.516586,15,131.994402
-43.821529,45,132.09966
-54.340703,59,132.23754
-27.882347,52,132.359061
-80.080786,55,132.487991
-12.625229,12,132.515862
-942.06397,1000,146.04751
-64.510353,65,146.198655
-92.371765,34,146.277505
-21.058298,40,146.3704
-921.660975,1000,148.730424
-76.983701,100,148.966335
-19.967548,33,149.04268
-33.394717,37,149.12901
-31.12683,64,149.278275
-10.857696,31,149.35007
-45.700068,35,149.431599
-837.436755,1000,162.953688
-22.145082,30,163.023872
-922.878428,1000,165.37376
-33.189886,38,165.462756
-48.713048,52,176.677886
-29.972076,80,176.865706
-19.539214,26,176.927425
-0.242344,15,176.963503
-50.537338,31,177.036013
-11.846219,10,177.05997
-6.756015,11,177.086063
-18.597538,14,177.119015
-28.802119,22,177.170671
3.188061,39,177.26173
-15.326922,20,177.308039
-879.825865,1000,179.655553
-21.783363,60,179.796903
-869.858559,1000,193.330472
-106.865214,75,193.50718
-54.642934,72,217.25779
-140.44386,100,217.496095
-17.813564,21,217.546006
-28.623643,47,217.657158
-870.03134,1000,220.034291
-50.395814,46,220.141251
1.919684,29,220.209348
-866.046437,1000,233.744733
4.023914,28,233.810464
-16.705557,13,233.841263
-25.224042,35,233.923725
-37.81979,50,234.041753
-19.835974,23,234.096005
-8.392374,19,234.140542
-37.155355,53,234.264999
-7.1626,14,234.298063
-23.017194,52,234.419701
-42.285773,54,234.546858
-171.977201,187,234.983638
-88.35979,88,235.188916
-25.354998,61,235.331651
-36.865574,51,235.451465
-51.285453,55,235.579721
-28.846696,44,235.682058
-51.390411,53,235.807088
-57.074053,71,235.972289
-37.286444,23,236.025652
-119.664297,103,236.265215
-9.486231,27,236.327578
-17.437856,19,236.371679
-58.586072,79,236.5544
-50.763094,48,236.666451
-34.52159,40,236.758153
-21.50268,31,236.830284
-42.614342,35,236.912036
-36.861482,50,237.028805
-18.15533,26,247.973498
-20.122111,29,248.041347
8.241016,64,248.189095
-3.866096,12,248.217136
-34.713016,23,248.271477
-34.156338,34,248.350964
-98.640838,102,248.591561
-29.044348,39,248.683527
-7.219369,17,248.723798
-78.338635,58,248.861601
-14.457525,52,248.984987
-37.080465,61,249.129394
-14.178783,28,249.19515
-53.044371,112,249.459872
-57.129338,49,249.57561
-51.443695,43,249.677325
-60.637263,46,249.786088
-42.022481,42,249.885552
-852.074986,1000,252.218557
-82.684058,48,252.331235
-21.205544,24,252.38751
-22.720462,21,252.437152
-47.521256,53,252.561303
-111.720712,152,264.080719
12.100303,32,264.156814
-43.568788,64,264.306708
-169.741574,139,264.633537
-48.317323,74,264.80905
-10.07792,20,264.85715
-92.716101,60,264.998528
-10.74764,29,265.067394
-1.8364,39,265.159791
-21.503693,59,265.297754
-47.150512,46,265.405143
-21.341815,16,265.44215
-870.861027,1000,267.787154
-27.99774,26,267.848863
-17.875441,23,267.902955
-31.253596,53,268.02701
-32.317792,34,268.106283
-21.381183,24,268.162807
-181.868106,265,279.938509
-55.89809,62,280.085901
-17.205609,16,280.123842
-15.103295,21,280.174128
-132.076385,129,280.478735
-104.738976,55,280.609492
-9.31339,23,280.663494
-8.063192,24,280.719831
-2.415461,16,280.757384
-51.382633,58,280.893007
-78.342283,91,281.104182
-40.011285,45,281.209648
0.322507,17,281.250031
-83.995759,86,281.450994
-40.597186,63,281.598214
-26.88841,26,281.659471
-29.537899,72,281.828382
-2.349724,53,281.952718
-98.430077,143,282.286365
