#{"t_start": 1650575982.016753, "env_id": "NewAnt-v2"}
r,l,t
960.058958,1000,211.196661
192.456552,323,420.697143
14.343087,24,622.072446
2.802399,15,817.750376
716.260167,1000,1036.267253
150.457227,342,1244.884052
118.288314,77,1442.88847
831.608564,1000,1654.713719
876.488142,1000,1873.32879
828.85264,1000,2103.914437
1119.874327,1000,2319.86293
1239.335475,1000,2535.672466
879.308692,1000,2751.294709
1380.477134,1000,2967.099161
829.396512,1000,3195.305425
1517.611187,1000,3411.497508
1309.622422,1000,3627.79482
1843.283534,1000,3843.863634
1292.354863,663,4057.335124
1977.188131,1000,4279.460848
1985.110947,1000,4493.928153
2170.126301,1000,4710.724593
41.403164,23,4914.124692
881.49868,1000,5119.05714
1889.293983,1000,5345.284936
2416.378948,1000,5560.141377
2548.555245,1000,5775.801287
2614.18889,1000,5992.907675
2733.43068,1000,6220.436996
345.622452,127,6426.540935
2762.115309,1000,6636.85525
2984.427671,1000,6852.665819
3300.264411,1000,7070.10866
3228.369521,1000,7299.773409
2573.750188,789,7513.433481
3431.67089,1000,7729.176765
3664.596675,1000,7946.616223
3658.562368,1000,8163.58041
3602.616336,1000,8390.738122
3643.982696,1000,8609.695295
3736.899243,1000,8827.592799
3727.170857,1000,9046.212125
274.612232,136,9252.945627
489.714083,186,9462.454043
2730.948208,838,9673.489521
3275.689737,1000,9889.618485
3195.697196,1000,10110.897375
3666.493402,1000,10330.359287
3587.667381,1000,10566.694955
3797.938687,1000,10783.033353
25,50.919627
-27.580996,24,50.975667
-49.228976,67,51.131518
-44.073482,32,51.206343
-19.281978,13,51.2369
-0.004103,26,51.297992
-49.402315,55,51.425585
-47.715678,54,51.551105
-22.07788,13,51.581589
-43.575058,22,51.633368
-38.743062,62,51.777564
-76.792186,93,51.993142
-42.663985,55,52.121046
-11.282914,13,52.151182
-26.844495,43,52.250866
-176.547825,201,52.714799
-42.650746,27,52.77718
-35.550102,46,52.883113
-96.823913,66,53.035395
-7.659331,20,53.081876
-11.995758,23,53.135429
-11.907089,21,53.184675
-20.526675,21,53.234153
-69.306998,70,53.398528
-21.005811,49,53.512749
-30.450112,34,53.592164
-10.386441,11,53.618039
-25.194889,21,53.666473
-61.040298,66,53.820418
-88.363249,55,53.948063
-30.896046,43,54.047762
-16.25132,57,54.17983
-115.475428,91,54.396447
-10.218792,10,54.420145
-26.257404,18,54.462343
-109.501191,144,66.448356
-44.913955,38,66.537815
-177.91813,142,66.873587
-105.772812,138,67.194836
-59.492366,45,67.303682
-95.211277,98,67.539516
-34.249023,27,67.603442
-71.187692,52,67.725478
-42.01165,90,67.937711
-29.48287,37,68.02461
-128.016537,146,68.369518
11.496213,37,68.456353
-30.774147,31,68.529459
-88.611436,104,68.781142
-5.869584,11,68.809279
-30.469769,25,68.868321
-50.17303,49,68.983546
-93.421557,80,69.17214
-17.486022,22,69.223536
-17.706035,17,69.26333
-43.575786,30,69.333535
-25.335217,30,69.404653
-1010.271101,1000,83.398518
-17.03698,50,83.515468
-40.602531,43,83.616845
-71.48879,85,83.81671
-37.250625,64,83.967027
-5.364292,18,84.009037
-63.371976,50,84.124554
-19.764368,23,84.177878
-64.067482,65,84.32776
-43.145321,23,84.382088
-42.628596,64,84.532237
-26.599616,47,84.642864
-54.934761,44,84.74609
-67.119708,78,84.928717
-50.406948,42,85.027204
-59.606739,29,85.095604
-110.078873,109,85.351059
-45.150363,43,85.452378
-54.426051,82,85.645034
-34.481617,31,85.717925
-55.413544,47,85.827466
-975.149695,1000,99.79327
-17.898636,44,99.897219
-41.647213,40,99.991534
-43.064542,45,100.097469
-28.690406,26,100.15896
-77.424066,69,100.320924
-83.850881,117,100.595894
-12.897293,11,100.621895
-51.500284,49,100.737144
-22.324253,21,100.787156
-39.814336,76,100.965848
-150.020892,148,101.310932
-36.522544,48,101.423216
-29.835362,21,101.47276
-83.309098,110,101.732412
-53.316711,88,101.93891
-29.876699,37,102.025862
-117.85662,81,102.214933
-912.588117,1000,116.120843
-51.256633,35,116.203922
-21.738958,75,116.379115
-20.329236,20,116.425664
-134.551629,118,116.699894
-13.710601,18,116.742789
-28.949382,16,116.780102
-68.377226,67,116.936735
-45.989376,36,117.020849
-957.750729,1000,119.363361
-586.775757,665,132.473794
-29.018594,60,132.616284
-19.17456,38,132.706046
-16.817367,38,132.795126
-23.420273,48,132.907767
-9.578104,14,132.941168
-6.792671,13,132.971527
-18.574984,18,133.013482
4.895593,28,133.07948
-87.450059,60,133.221013
-31.241384,54,133.347665
-48.164356,60,133.48887
-22.245389,22,133.540024
-65.467457,43,133.639736
-42.132367,30,133.710253
-15.51955,15,133.745472
-11.503205,16,133.78302
-79.743308,63,133.932293
-48.160939,94,134.154629
-134.70462,111,134.4142
-49.991022,81,134.603772
-33.656472,44,134.70677
-7.931861,12,134.734607
-25.023032,19,134.778688
-23.199427,25,134.837213
-25.822027,25,134.89624
-913.667405,1000,148.828642
-76.726355,69,148.987881
-13.256135,11,149.013644
-160.107263,136,149.331612
-16.686593,25,149.389988
-27.742601,53,149.514146
-891.521268,1000,151.871897
-36.152073,46,151.979122
-36.517676,53,152.102226
-21.588239,26,152.162822
-793.135724,1000,165.922357
-7.447042,37,166.01
-49.196701,31,166.083127
-14.793331,15,166.11845
2.204624,46,166.226624
-52.980592,43,166.327997
-17.70431,25,166.386937
-0.594493,17,166.427109
-955.565747,1000,168.798211
-71.163867,62,168.943531
-875.248387,1000,183.039229
-25.265509,19,183.084009
-22.892919,39,183.175374
-852.091035,1000,185.538083
-42.148117,70,185.702719
-17.131834,26,185.764015
-21.2393,34,185.843855
-4.867756,10,185.867625
-755.344446,1000,222.674239
-69.596213,67,222.830258
-160.316266,99,223.059196
-127.014514,99,223.289256
-35.995125,33,223.366925
-47.147765,26,223.427819
-21.179636,100,223.662905
-39.378536,58,223.80097
-789.774315,1000,237.669622
-131.640243,98,237.899646
-10.507698,15,237.935051
-24.439703,36,238.019316
-3.325071,20,238.066595
-11.810219,17,238.107047
-69.406446,69,238.269591
0.766803,35,238.352373
2.493423,43,238.453666
-17.028106,64,238.604611
-34.378011,20,238.651895
-814.193115,1000,240.996713
-17.048821,32,241.071623
-132.40101,158,241.436455
-127.688085,80,253.135092
-27.00824,20,253.182215
-75.858639,43,253.283303
-26.036094,58,253.419847
-771.573114,1000,255.781114
-48.884737,56,255.911525
-45.830742,52,256.031484
-7.135497,13,256.061818
-117.803312,60,256.200898
-99.096775,85,256.397766
-734.214057,1000,270.225327
-3.40853,11,270.252033
-31.06529,61,270.394673
2.42318,21,270.444688
-20.851521,31,270.516527
-13.012566,10,270.539876
-1.394132,28,270.604913
-16.458586,35,270.689161
-72.332581,62,270.833301
-11.648027,40,270.92571
-29.39256,39,271.015987
-35.158207,35,271.097349
-10.104611,12,271.125364
-14.441799,35,271.207666
-25.576391,21,271.25591
-6.768251,34,271.334682
-37.04288,33,271.410016
-55.135113,77,271.58754
-6.110421,16,271.624391
-1.442761,16,271.661335
-715.553473,1000,274.002165
-35.261216,62,274.146544
-31.560115,29,285.657795
2.40741,26,285.719998
-114.427957,88,285.926203
-3.27993,32,286.000372
-22.741724,15,286.035404
-68.262911,47,286.145085
-71.190437,59,286.282439
-25.452582,74,286.455088
-28.13103,36,286.540135
-112.43105,123,286.829287
-54.067734,77,287.008159
-18.857082,24,287.06391
-19.070937,16,287.101304
-11.734449,19,287.145781
-14.761465,24,287.201557
-7.317779,31,287.273634
-18.421169,15,287.309063
-54.011473,45,287.414227
-95.622409,59,287.550854
-26.932068,24,287.607049
-32.61551,52,287.728688
-5.803329,18,287.771071
-106.523668,85,287.970913
9.763183,20,288.017866
-279.487433,220,288.535664
-11.559324,37,288.621677
-13.741654,14,288.654876
-9.219613,14,288.68768
1.299856,36,288.772665
-45.855056,50,288.890279
-40.48024,47,289.000876
-31.840523,44,289.104049
-0.505337,29,289.172597
-36.235267,81,289.363042
-18.583726,14,289.395675
-8.551558,22,289.447047
-38.721274,38,289.536446
-12.96787,18,289.57907
-18.161854,33,289.656604
-66.26629,65,289.809855
-28.105504,55,289.937507
-30.361766,31,290.009634
-57.271448,48,290.121597
-23.790753,27,290.184676
-26.97919,39,290.275529
-44.435988,86,301.753035
-6.367672,42,301.85015
-6.380529,21,301.89909
2.046942,10,301.922114
-19.740072,54,302.047642
-10.260166,14,302.080489
-7.26635,58,302.214383
-22.022188,20,302.260513
-36.08331,21,302.309904
-4.724527,13,302.339901
-67.23976,84,302.53532
-3.978486,29,302.602735
-45.690581,151,302.953547
-33.637113,68,303.110241
-4.36098,15,303.145352
-29.467451,50,303.2611
-20.080642,28,303.32645
-38.551389,57,303.458924
-21.298007,28,303.524918
-10.184338,15,303.560121
-27.063772,36,303.64383
-38.446142,25,303.702174
-9.49891,34,303.782253
-15.53496,29,303.850515
-732.321814,1000,306.19417
-21.156385,67,306.349098
-8.733424,18,306.390407
-41.272088,96,318.217965
-40.26709,40,318.310839
-12.357324,22,318.361887
-8.450097,15,318.396644
-13.603563,25,318.455266
-59.911884,50,318.572087
-48.830295,108,318.826103
-15.474615,38,318.915651
-3.163863,11,318.941152
-37.725451,37,319.027578
0.507281,15,319.062791
-15.140572,26,319.123288
-48.652289,47,319.232754
-35.142746,35,319.314484
-4.734346,41,319.410295
-8.075919,13,319.441115
-801.316094,1000,321.793691
0.785128,44,321.896189
-53.982391,96,322.119
-43.475221,50,322.235692
-42.77989,67,322.391251
-31.623836,45,322.495922
-31.683695,22,322.547207
-10.357544,19,322.59207
38.568558,56,322.723379
1.912672,24,322.779197
-11.310153,13,322.809587
-3.332767,18,322.852137
-56.147238,34,334.243562
-3.944174,13,334.274978
-17.183634,25,334.333971
-23.602445,23,334.387776
12.441585,37,334.474666
-5.375256,41,334.571412
-56.374269,31,334.644316
-43.177046,83,334.839297
-0.041706,25,334.898196
-47.493977,47,335.008268
-31.600243,40,335.102178
-812.401682,1000,337.448967
-0.686693,19,337.493802
-25.370609,27,337.556902
-21.301697,34,337.635931
-26.695328,64,337.785024
-24.594238,24,337.840745
2.343404,24,337.896294
-78.426894,77,338.076998
-16.361903,13,338.108386
-10.525714,21,338.157358
8.3176,27,338.220522
5.271067,35,338.302906
-135.644016,106,338.548957
-11.582479,22,338.600131
-0.803664,36,338.683753
-7.478721,26,338.744201
2.231002,35,338.825279
-12.850684,14,338.858347
-15.477456,20,338.904923
-61.173909,80,350.375931
-7.947556,21,350.424676
3.603117,16,350.462005
-7.383045,29,350.529475
-46.677109,47,350.63895
-19.354001,35,350.720832
-38.914025,46,350.828237
-15.870131,36,350.911937
3.833438,17,350.951524
-0.337401,10,350.975318
-32.474043,22,351.02719
-59.111796,62,351.172375
-36.163962,61,351.315375
-63.404684,95,351.538461
-102.121943,140,351.867875
0.665863,15,351.903438
-43.57823,66,352.058368
-16.56341,63,352.207229
-73.1139,81,352.397697
-48.935582,38,352.487228
-11.30988,41,352.582982
-14.578802,52,352.705216
-25.773908,47,352.814209
-20.406341,41,352.90943
-674.517441,921,355.060386
-20.950091,14,355.093396
-13.240832,125,366.844303
-20.951679,90,367.053226
-36.017131,68,367.210483
-46.986275,56,367.340041
-789.502419,1000,369.695012
2.23294,30,369.766425
-68.50222,89,369.971782
-49.24822,42,370.068322
-113.346501,141,370.394329
-162.341591,109,370.647836
-13.517998,20,370.69451
-34.004739,55,370.822463
-32.578109,46,370.929644
-55.429086,84,371.124652
-37.407583,24,371.18055
-13.822635,34,371.259931
-2.832984,85,382.809873
-52.188877,73,382.979133
-32.37084,15,383.01425
-34.724521,28,383.078788
-7.525643,13,383.109416
-42.895529,99,383.338294
1.891768,23,383.391326
-6.97767,15,383.426293
6.204518,27,383.4897
-4.257239,8,383.508574
-52.75761,75,383.685488
-10.787952,28,383.752685
-650.341447,1000,386.094499
-12.362,17,386.134239
-31.23565,96,386.355969
-19.334817,23,386.409831
-10.769331,27,386.472931
-22.109626,18,386.515415
-18.184623,23,386.569389
-37.038406,111,386.830245
-10.947158,58,386.966553
-29.840903,32,387.042243
-37.92374,38,387.132094
-143.667139,122,387.418284
-9.006696,18,387.460829
-709.330742,1000,401.137717
-16.639094,16,401.175323
-701.701448,1000,403.528381
-633.018628,1000,424.420609
-6.116516,74,424.595041
-15.554586,25,424.654132
-13.359698,10,424.677474
-10.228943,92,424.893189
-658.680655,1000,438.858234
-6.412608,62,439.002975
-23.793069,29,439.07081
-108.368731,117,439.343201
0.209856,34,439.425691
-26.713981,19,439.470099
-145.129637,155,439.838007
-61.161514,45,439.943286
-32.207327,41,440.040512
-67.293898,97,440.265971
14.167972,39,440.356608
-8.564192,29,440.423553
-130.564655,238,440.974053
-50.703072,74,441.144165
-54.74361,66,441.296535
-689.421953,1000,455.546908
13.014233,32,455.622437
13.690439,32,455.696806
-21.335103,17,455.736642
-0.50296,22,455.788141
-23.650479,16,455.826122
-37.654847,74,455.999417
-16.945262,30,456.069298
-42.718679,90,456.279775
-32.18914,45,456.38421
-10.054162,14,456.416822
1.238881,23,456.47074
-15.233667,79,456.654355
8.839009,19,456.698539
-25.512448,37,456.784637
-68.882379,44,456.886585
-15.718525,31,456.959459
-33.841505,28,457.024753
-19.16587,18,457.067301
-19.472343,35,457.149148
-36.902229,39,457.240256
-11.252165,14,457.273021
-55.849907,104,457.513358
-43.192572,55,457.641484
-35.378033,96,457.864089
-4.620404,21,457.913312
-0.471917,14,457.94599
39.266573,53,458.069518
-30.170473,20,458.116396
-43.155875,33,458.193123
-121.023019,163,458.571855
-38.356054,51,458.690426
-35.744771,51,458.808467
-18.845143,22,458.859893
-14.927645,14,458.892409
-13.645457,35,458.973114
-25.290794,84,459.168718
-11.235854,23,459.221414
-3.394569,36,459.303912
-17.790209,40,459.396372
-15.887193,64,459.544764
-50.293336,43,459.64373
-35.763472,103,459.880749
-1.043148,58,460.014069
-661.933199,1000,474.293527
-3.564648,107,474.541635
-20.398034,76,474.718337
5.097643,36,474.801897
-41.471938,222,475.322547
-34.145602,53,475.446656
-25.778688,68,475.607404
-118.526894,101,475.845178
-692.589879,1000,489.690508
-662.803397,1000,492.045285
-30.910068,23,492.098983
-705.457203,1000,506.005149
-0.94702,15,506.040306
-12.179286,19,506.084085
-595.137636,1000,508.417016
-35.426776,37,508.503819
-15.144789,80,508.690754
-20.971801,87,508.893795
-50.564202,27,508.956828
-98.283293,83,509.149059
-29.017736,34,509.228141
-34.481228,32,509.302476
-650.425893,1000,523.343887
-11.788552,23,523.397958
2.364249,21,523.446658
-7.062073,17,523.486319
-15.014347,23,523.540785
-83.552939,87,523.744005
-9.597008,14,523.776549
-70.994929,85,523.97461
1.724565,18,524.016773
0.215896,16,524.053951
-621.332249,1000,538.081872
-6.313008,14,538.115113
-23.111551,33,538.192285
-547.974078,1000,540.546587
-574.57268,1000,554.26081
9.442135,37,554.348499
-33.34984,36,554.434178
