#{"t_start": 1650575982.0027554, "env_id": "NewAnt-v2"}
r,l,t
-57.025838,53,0.188642
-39.362554,34,0.267255
-7.398484,11,0.293279
-94.367827,159,0.661162
-999.269709,1000,3.007077
-91.155694,58,3.141237
-139.266291,156,3.50268
-67.065941,55,3.62983
-41.448025,42,3.726964
-2.756364,15,3.761594
-164.291034,122,4.045861
-20.289718,17,4.085211
-168.978688,149,4.426623
-88.887893,82,4.615255
-11.125646,64,4.764087
-1.363435,70,17.018584
-18.08581,22,17.070651
-48.686212,46,17.177665
-16.657731,12,17.205502
-44.237392,24,17.260892
-149.488981,79,17.444557
-47.67179,73,17.614206
-0.467547,48,17.727193
-33.514903,30,17.797115
-35.079733,47,17.908469
-47.719652,41,18.004591
-63.661344,89,18.21225
-64.279402,46,18.319988
-101.430318,79,18.505711
-77.26514,56,18.636869
-12.281149,14,18.669729
-1058.448034,1000,21.004224
-55.151069,30,21.07408
-6.795351,16,21.111283
-41.877658,24,21.166677
-53.366045,25,21.224674
-12.330063,18,21.266907
-46.752197,36,21.351195
-42.753391,87,21.555417
-69.07075,34,21.635584
-1062.524093,1000,35.745069
-25.132167,19,35.79001
-29.577778,32,35.864599
-35.469867,41,35.959703
-51.892564,37,36.045579
-105.147905,115,36.314505
-18.655234,22,36.365872
-45.899995,28,36.43141
-6.557789,25,36.490218
-88.821963,50,36.607301
-9.04181,10,36.631125
-889.99833,1000,50.628757
-40.71623,34,50.708288
-118.699728,89,50.914406
-49.86178,64,51.063224
-16.267334,41,51.15874
-37.245122,29,51.226729
-11.252784,14,51.2602
-68.048575,56,51.390074
-947.993537,1000,53.712278
-24.816361,48,53.824311
-36.115762,55,53.951789
-58.270558,64,54.100096
-17.138284,24,54.156034
-112.193589,103,54.400923
-71.10638,64,54.549907
-53.483222,56,54.68016
-34.807646,85,66.530343
-24.98308,20,66.576959
-47.255162,23,66.630373
-16.771188,14,66.663103
-53.637956,39,66.757759
-53.349487,67,66.914283
-11.232532,27,66.976982
-62.094782,38,67.06485
-994.641023,1000,69.437736
-5.209959,11,69.464195
2.666177,30,69.534517
-86.1832,100,69.768379
-12.958978,13,69.799092
-21.443309,17,69.839156
-1008.186387,1000,83.833184
9.083117,44,83.936258
-15.481047,13,83.966666
-106.136702,142,84.294627
-14.158782,12,84.322937
-61.470162,73,84.494585
-62.210437,42,84.593081
2.457272,19,84.637913
-65.693348,49,84.752439
-21.497019,35,84.834349
-237.86291,185,85.267857
0.811466,16,85.305813
-9.170282,11,85.332229
-5.89038,18,85.374368
-142.964884,118,85.651633
-974.2269,1000,99.615599
-88.786979,88,99.82363
-18.829404,20,99.871171
-25.42838,44,99.975054
-20.162917,70,100.139419
-78.364018,56,100.271019
-32.017913,35,100.35463
-11.619528,12,100.382896
-39.402056,65,100.534419
-43.879128,41,100.630797
-43.135038,99,100.865263
-7.249123,14,100.897609
-66.454169,37,100.983876
-925.20542,1000,103.332995
-12.07269,25,103.392172
-600.798842,556,116.252332
-25.359903,23,116.306179
-107.700096,82,116.496855
-28.666958,34,116.575878
-58.096117,90,116.786693
-9.145071,19,116.831332
-9.386609,21,116.880252
-37.080072,32,116.954757
-94.758895,92,117.170467
-32.359136,43,117.270932
-3.614825,29,117.338092
-21.225718,23,117.391729
-14.555827,19,117.435994
-52.510824,60,117.575851
-78.763629,76,117.752534
-107.883899,109,118.007434
-36.456563,23,118.061237
-7.73364,12,118.089372
-21.465314,28,118.15469
-60.369903,57,118.286452
-85.505645,79,118.477794
-29.542924,15,118.513183
-35.181098,19,118.558229
-22.061165,22,118.610307
-23.158905,46,118.716772
-85.389332,75,118.890277
-23.315796,40,118.984712
-14.937864,12,119.012853
-47.690495,54,119.138716
-38.537083,30,119.208986
7.256448,25,119.26809
-30.310815,46,119.380135
-48.111414,16,119.417499
-10.763092,37,119.504139
-970.306634,1000,133.401489
-15.843469,15,133.436625
-40.904642,63,133.583037
-3.771333,32,133.658189
-28.219187,67,133.8147
-14.569426,14,133.847368
-22.046457,14,133.880897
-71.998584,67,134.041552
-96.849973,108,134.294096
-53.998513,52,134.41619
-9.101831,16,134.454429
-23.76444,40,134.5471
-6.917824,42,134.645222
-44.058316,57,134.777837
-276.158374,182,135.202874
-45.002177,34,135.282579
