#{"t_start": 1650575991.7053986, "env_id": "NewAnt-v2"}
r,l,t
-99.521397,92,0.345896
-1.469835,23,0.403395
-51.00915,48,0.521325
-58.729859,48,0.638445
-20.068595,28,0.707159
-14.320501,35,0.793459
-90.365038,74,0.975294
-4.054026,26,1.039896
-60.991453,64,1.198239
-97.480188,70,1.370826
-117.371888,99,1.615074
-30.10889,45,1.726668
-1043.504494,1000,4.197965
-26.095939,33,4.27909
-32.61628,29,4.349789
-101.03369,59,4.492985
-114.397655,78,4.682478
-33.748165,86,4.893402
-36.081285,16,4.932539
-45.650522,25,4.994418
-88.922977,80,16.724062
-12.491055,12,16.75383
-45.995966,36,16.841232
-20.568916,15,16.877382
-59.244457,66,17.035504
-175.299484,212,17.550151
-26.918175,54,17.68079
-29.781809,22,17.73435
-113.268024,159,18.120977
-13.768555,12,18.150689
-41.191483,30,18.224058
-117.698489,149,18.583606
-122.502906,102,18.829163
-107.765482,74,19.007209
-27.778836,21,19.058
-1023.121435,1000,21.473673
-1017.918937,1000,35.121236
4.107137,24,35.179234
-89.725756,90,35.39734
-54.085076,28,35.464756
-61.468583,48,35.581306
-18.410716,14,35.615445
-52.223766,78,35.803449
-69.827427,38,35.89682
-73.45311,85,36.102278
-36.883127,49,36.222255
-142.763579,91,36.444277
-186.319681,149,36.810208
-169.639163,131,37.132098
-106.439859,43,37.237361
-57.535525,48,37.354325
-32.202332,16,37.393678
-1009.379968,1000,51.056555
-88.06335,67,51.222225
-19.751562,43,51.32863
-30.526454,22,51.383453
-1048.320711,1000,53.874212
-95.131581,108,65.373334
-64.445126,67,65.537949
-160.075872,130,65.853263
-36.899425,38,65.94454
-29.641104,35,66.029443
-26.036526,27,66.094326
-8.047931,18,66.138027
-72.742995,38,66.229534
-137.917411,69,66.394607
-6.243649,12,66.423611
-51.572747,52,66.548094
-54.609635,45,66.656492
-23.076525,30,66.726901
-206.436374,141,67.062139
-43.854739,48,67.176853
-37.411403,27,67.241696
-73.998595,74,67.41761
-64.581134,54,67.546032
-1021.177393,1000,69.985374
-74.026576,95,70.214794
-1013.185853,1000,84.016741
-31.443947,20,84.066787
-30.54017,16,84.106568
-22.528737,18,84.150633
-11.491082,18,84.195273
-38.001395,18,84.239975
-204.159262,157,84.6256
-50.51442,40,84.723748
-997.486614,1000,98.418046
-37.481344,22,98.472135
-37.111684,42,98.574592
-42.20232,58,98.715928
-48.184007,114,98.995339
-37.429301,54,99.127594
-68.014488,72,99.303261
-23.883859,24,99.361969
1.695956,7,99.379211
-82.338169,74,99.560241
-11.484563,18,99.603532
-34.061381,38,99.695396
-933.332456,1000,102.162441
-26.033959,48,102.281812
-34.015498,29,102.353127
-163.418967,129,102.67182
-67.353953,88,102.889878
-91.830602,77,114.279003
-31.836172,21,114.330866
-59.341401,94,114.562962
-58.228659,67,114.728597
