#{"t_start": 1650999143.321653, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-71.001407,101,0.609407
-17.325198,18,0.655011
-68.32294,55,0.793494
-11.710088,10,0.819245
-45.692288,48,0.939359
-40.540512,44,1.049865
-124.704013,100,1.300231
-83.892108,76,1.493284
-61.669597,53,1.627388
-103.144827,123,1.933095
-28.006632,30,2.008113
-21.464046,16,2.047949
-25.006508,15,2.086003
-60.106431,69,2.259902
-164.37943,117,2.559694
-96.431238,57,2.704984
-136.036262,125,3.021826
-1058.441119,1000,21.586983
-59.092112,71,21.769515
-195.765791,151,22.152842
-15.222764,15,22.190354
-1125.499233,1000,24.754956
-91.372658,91,24.988575
-198.089685,158,25.391811
-104.181822,69,25.567143
-106.75492,105,25.832954
-0.574371,12,25.863813
-25.507222,24,25.92579
-70.117446,46,26.04145
-107.144894,69,26.216765
-138.36535,119,26.519485
-23.220104,17,26.563682
-42.86669,70,26.738773
-87.165575,87,42.895028
-59.958182,49,43.022452
-127.95143,143,43.389697
-120.106139,98,43.637706
-16.931397,56,43.781312
-94.69961,67,43.952127
-16.1828,12,43.983237
-11.468933,70,44.162486
-8.845019,10,44.188934
-71.742322,58,44.337726
-60.002905,66,44.506983
-1097.481336,1000,47.072326
-70.905244,95,47.312881
-30.786747,20,47.363793
-94.815432,94,47.601384
-120.153996,108,47.876571
-165.352734,127,63.793276
-53.36546,49,63.916698
-46.003516,40,64.018182
-1005.666287,1000,66.575501
-226.765729,199,67.087275
-42.903919,67,67.258244
-29.72083,40,67.361133
-39.652783,32,67.442505
-1028.688651,1000,85.871157
-56.473542,31,85.951035
-60.541631,51,86.081363
-93.555815,69,86.256546
-21.69453,20,86.308186
-106.163834,246,86.938069
-10.998452,12,86.968572
-275.261539,275,87.673012
-975.237462,1000,105.825036
-47.903459,54,105.962642
-23.053678,29,106.037302
-25.00767,34,106.123975
-36.977603,28,106.194826
-52.488899,27,106.263643
-35.085625,29,106.337214
-60.671982,39,106.437786
-80.896821,55,106.579784
-111.180554,161,106.990944
-64.26839,111,107.272652
-137.487911,125,107.589284
-28.944054,17,107.63274
-133.562355,112,107.91795
-46.593388,64,108.08016
-102.595636,85,108.295471
-31.728675,23,108.354241
-44.565532,44,108.465608
-81.778106,53,108.601977
-79.220076,63,108.763476
-67.591948,82,108.975155
-94.252381,66,109.144799
-30.348698,28,109.217303
2.3062,19,109.266428
-65.30088,55,109.408065
-34.781777,58,109.557437
-15.349211,45,109.673274
-169.072255,166,110.094612
-33.107249,33,110.178461
-170.820043,123,110.492827
-26.665752,28,110.564583
-14.500962,17,110.608382
-12.51496,41,110.712925
-984.769173,1000,130.925303
-24.132438,28,130.999724
-159.900208,148,131.378812
-11.103622,8,131.399578
-15.238173,16,131.439967
-10.178799,31,131.519532
-44.275503,51,131.649196
-3.463324,21,131.702533
-39.998674,33,131.786904
-31.752372,18,131.832966
-1042.808139,1000,150.22743
-24.771965,24,150.292108
-992.250253,1000,152.8538
-129.768098,67,153.025764
-61.476455,44,153.137346
-17.904721,20,153.18899
-92.996364,86,153.411169
-77.506195,102,153.670139
-39.466976,41,153.774246
-27.182924,20,153.825507
-14.767854,23,153.884326
-22.380706,35,153.972875
-94.49011,113,154.258763
-1018.526362,1000,172.454838
-198.467297,187,172.935427
-247.705224,199,173.444381
