#{"t_start": 1650999143.1411521, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-47.384732,32,0.614785
-68.276626,65,0.779171
-83.296738,84,0.991501
-8.808992,23,1.049758
-168.355335,173,1.483208
-111.233264,91,1.714001
-267.260652,209,2.235803
-1140.449361,1000,4.786611
-39.960442,40,4.892459
-54.963016,36,4.985719
-102.648951,80,5.189528
-15.875297,10,5.215048
-256.29335,141,5.574974
-44.006004,25,5.638662
-37.126808,38,5.737107
-31.717163,54,21.880182
-38.656938,40,21.982737
-334.816453,268,22.659648
-71.673648,54,22.797123
-23.798734,26,22.863787
-126.731109,123,23.178874
-182.751016,229,23.767409
-130.939104,128,24.095664
-53.321551,27,24.165498
-1065.03251,1000,26.722733
-1079.919741,1000,45.218842
-13.984364,18,45.265189
-144.614245,123,45.578928
-34.624463,38,45.676867
-95.071088,63,45.837554
-13.918113,13,45.870728
-57.575486,55,46.011681
-13.562196,23,46.071369
-15.052899,14,46.107972
-14.320662,33,46.194014
-107.185396,81,46.401964
-12.317468,9,46.425437
-131.250096,120,46.730878
-16.706091,24,46.791916
-55.899645,52,46.92478
-175.038076,127,47.249363
-188.159102,137,47.597593
-12.567709,19,47.645363
-22.346489,69,47.819613
-92.738918,87,48.040498
-56.220757,52,63.767705
-165.494751,177,64.216138
-128.121014,72,64.397501
-1.794564,27,64.465765
-203.612917,149,64.843539
-14.492889,32,64.924272
-1055.946062,1000,67.492052
-101.068202,87,67.714122
-56.102106,52,67.846875
-16.032113,14,67.882614
-167.013999,109,68.160307
-31.667076,46,68.277814
-61.808509,59,68.429116
-66.925476,47,68.549926
-44.82112,59,68.702358
-52.348202,69,68.879555
-24.032243,18,68.926853
-59.103123,41,84.901378
-8.17543,30,84.978852
-90.119773,95,85.221107
-37.680035,79,85.422972
-55.134097,38,85.520408
-210.166892,161,85.930637
-121.781658,114,86.223371
-48.686519,41,86.32783
-56.358314,44,86.439584
-164.294903,189,86.923861
-19.026184,17,86.967767
-23.057649,35,87.056927
-1063.520052,1000,89.623325
-43.858151,51,89.754809
-13.490234,8,89.775639
-239.442429,176,105.809113
-92.478898,102,106.071687
-262.853991,245,106.698625
-23.198184,19,106.746837
-163.02358,170,107.181899
-23.825211,15,107.220457
-977.464687,1000,109.773676
-137.134179,102,110.033561
-91.997058,67,110.203455
-33.377372,38,110.300027
-51.590041,53,110.434986
-960.695276,1000,130.646181
-21.283185,21,130.700636
-972.623397,1000,133.279147
-22.90676,19,133.330521
-279.135764,191,133.823118
-51.081758,77,149.822113
-8.394701,21,149.876749
-62.820715,59,150.028665
-21.762684,14,150.065132
-56.519684,40,150.170997
-240.141463,148,150.554704
-117.36553,113,150.845537
-28.13111,20,150.896695
-69.139992,48,151.019106
-2.977404,17,151.063026
-29.941239,27,151.132135
-51.955312,66,151.30048
-56.14845,61,151.456382
-67.764182,54,151.59383
-36.460351,37,151.688577
-55.095292,61,151.844373
-138.104073,139,152.198447
-16.51618,24,152.260028
-75.983371,103,152.523345
-22.77323,28,152.595235
-19.631424,43,152.711673
-68.639004,84,152.926892
-13.427437,12,152.957383
-117.825725,151,153.343171
-18.187205,23,153.402432
-49.680635,39,153.504187
-101.486824,175,153.948854
-31.753967,32,154.031098
-236.810908,244,154.6489
-107.560678,196,170.775072
-295.274504,288,171.512547
-15.103112,56,171.659152
-935.239228,1000,174.237908
-947.911721,1000,192.676321
-205.174031,176,193.12604
-12.975171,22,193.18261
-32.267682,23,193.241987
-118.650849,78,193.442355
-69.18728,88,193.668051
-170.016126,161,194.080158
-17.387594,31,194.159077
-222.453284,132,194.495959
-95.113546,119,194.799438
-21.659629,32,194.882067
-894.562806,1000,213.502464
-109.4404,127,213.829719
-967.204454,1000,216.39886
-33.920258,47,216.519098
-48.326141,66,216.686954
-111.544527,166,217.110381
-19.21518,12,217.140779
-16.688651,20,217.191049
-914.753838,1000,235.466595
-32.827357,34,235.554655
-78.429607,121,235.864111
-62.367176,94,236.103858
-139.426653,149,236.482255
-30.749403,69,236.656315
-41.936203,40,236.75828
-880.704281,1000,255.065384
-6.410034,22,255.122591
-101.356476,50,255.249795
-46.400992,58,255.398258
-94.898558,144,255.766317
-11.179644,33,255.855524
-139.633452,154,282.479928
-10.188898,27,282.549338
-867.546641,1000,285.149277
-77.813366,58,285.300382
-903.61861,1000,303.855426
-27.539518,19,303.905247
-120.52767,173,304.345898
-9.259473,31,304.424479
-74.888244,100,304.68054
-68.258813,36,304.772499
-54.291197,58,304.921393
-7.3368,18,304.967739
-862.499997,1000,307.544396
-26.625233,27,307.61508
-153.177606,142,323.889218
-11.946771,30,323.966695
-837.967392,1000,326.535341
-36.733159,33,326.620039
-47.00629,40,326.723527
-840.00967,1000,344.997701
-30.78691,54,345.135565
-269.281301,247,345.763925
-141.010064,176,346.214929
-48.1774,32,346.297543
-15.987694,58,346.445797
-20.874778,50,346.574055
-106.787134,104,346.844168
-40.958547,49,346.96907
-26.316581,20,347.02067
-66.86167,57,347.167678
-17.214753,53,347.304302
-40.53217,44,347.418277
-12.240639,22,347.475159
-20.005586,16,347.516052
-36.142292,86,347.734062
-133.761523,135,348.075731
-49.025402,43,348.185421
-39.115498,41,348.288813
2.1619,25,348.351684
-71.133931,109,348.625401
-150.502819,141,348.980752
-79.300408,81,349.185743
-35.720687,66,349.353946
-347.905362,375,366.120492
-182.579824,197,366.621881
-70.142106,92,366.86101
9.143644,13,366.894271
