#{"t_start": 1650999143.353209, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-86.727163,77,0.517642
-65.614869,64,0.678983
-20.592268,32,0.759542
-3.746315,23,0.818223
-247.664887,156,1.209208
-40.108361,27,1.277351
-46.56193,38,1.37197
-11.173109,11,1.401576
0.030519,47,1.520859
-28.342155,51,1.648622
-34.303049,52,1.777231
-276.735142,183,2.236862
-72.374439,94,2.477593
-36.793673,63,2.638092
-69.694307,72,2.819997
-33.425274,31,2.898177
-66.669211,58,3.046444
-17.638048,21,3.09943
-59.350218,46,3.214572
-156.788566,137,3.559148
-76.199714,71,3.746223
-28.829183,20,3.799214
-50.17278,45,3.914315
-43.97864,26,3.98106
-53.057962,71,4.164201
-243.387963,196,4.668175
-18.479853,20,4.720136
-16.143411,22,4.777272
-186.878154,201,5.289907
-100.291233,108,21.572212
-22.647809,30,21.648609
-194.315416,131,21.98161
-51.44011,44,22.092906
-22.936095,41,22.19636
-109.288341,80,22.397288
-76.584925,100,22.65276
-1152.186467,1000,25.223902
-165.669101,114,25.513198
-51.095981,56,25.654767
-26.102696,29,25.728639
-69.885022,41,25.832923
-8.255492,16,25.874176
-90.283898,77,26.068802
-99.723069,110,26.347718
-25.41967,14,26.383932
7.279792,24,26.444929
-1087.100593,1000,44.940369
-62.965445,124,45.256614
-18.959995,29,45.330065
-29.638665,26,45.39892
0.773783,28,45.471154
-2.25452,15,45.509461
-1026.051061,1000,63.655694
-52.93712,63,63.815066
-85.114965,40,63.916154
-244.596112,199,64.419431
-1035.434514,1000,66.984076
-23.909405,26,67.050753
-81.476922,68,67.224068
-26.464135,46,67.343085
-0.536276,14,67.378498
-119.324923,59,67.528219
-197.717526,125,67.847152
-89.666054,106,68.118008
-51.094627,56,68.261854
-1077.547603,1000,86.691164
-50.328881,71,86.873735
-948.893118,1000,89.440982
-102.475304,110,89.722107
-12.790357,49,89.846702
-28.184716,17,105.474356
-54.035429,60,105.629302
-311.626427,242,106.247938
-7.091321,14,106.283176
-25.055887,48,106.407255
-24.004186,19,106.456777
-126.83031,85,106.67242
-42.927912,38,106.768951
2.416096,25,106.832549
-79.898032,92,107.070096
-112.018211,73,107.254629
-109.30728,151,107.63735
-8.196122,12,107.667672
-3.606355,9,107.690576
-127.153712,100,107.945355
-108.328061,83,108.154912
-40.531811,66,108.323358
-961.249801,1000,126.646297
-25.944312,24,126.707924
-18.53554,20,126.758499
-153.596723,95,127.001658
-101.757076,59,129.034682
-13.529322,16,129.078358
-44.462985,45,129.196156
-21.055229,39,129.296289
-55.299818,78,129.496585
-26.417589,27,129.565767
-89.241425,68,129.740127
-52.754041,46,129.858573
-88.532472,61,130.014859
-443.389602,409,131.067895
-179.642168,154,131.459863
-5.573671,9,131.482908
-42.960626,44,131.594595
-126.234396,103,131.858079
-974.053067,1000,150.253864
-64.806028,57,150.401254
-31.461002,24,150.46278
-14.274839,10,150.488205
-28.861338,16,150.529619
-18.725176,24,150.59133
-44.782451,30,150.66742
-935.343619,1000,153.229563
-8.5289,30,153.30851
-163.627656,226,153.8837
-42.03126,32,153.964548
-55.477996,67,154.133895
-214.883423,142,154.49351
-25.624378,65,154.658729
-146.569287,102,170.544806
-95.566066,136,170.893136
-225.089246,195,171.394988
-1004.434067,1000,173.974924
-949.934613,1000,192.413135
-87.508259,58,192.563011
-9.830676,10,192.588535
-961.353266,1000,195.150877
-92.532997,77,195.350578
-139.249883,101,195.609334
-950.868653,1000,214.229427
-259.84049,180,214.68912
-144.881498,103,214.952213
-83.757713,59,215.103826
-57.253947,35,215.193531
-57.177084,29,215.267683
-63.484066,59,215.418123
-30.254105,26,215.48472
-130.515528,110,215.763677
-30.495543,34,215.860167
-3.717124,22,215.917734
-20.601946,15,215.956405
-72.464676,40,216.058218
-81.869465,82,216.267009
-43.409371,43,216.376792
-38.786235,70,216.554391
-131.167378,122,216.865725
-117.308481,185,217.334581
-885.982786,1000,235.614383
-106.392509,74,235.8028
-70.785394,87,236.025303
-95.918279,117,236.321696
-14.993767,38,236.416792
-6.409968,22,236.473119
-213.308374,154,236.862849
-47.546896,49,236.987027
-29.901802,19,237.035244
-21.494349,39,237.133874
-174.314616,127,237.457624
-181.104084,248,238.089316
-851.918197,1000,282.647862
-47.82,60,282.804009
-19.741986,67,282.975055
-4.845633,33,283.062362
-22.662977,74,283.252228
-36.719759,33,283.339262
-81.610928,102,283.606509
-58.736968,64,283.772844
-13.110549,29,283.847715
-49.195674,93,284.088934
-130.569373,140,284.455343
-16.321229,18,284.501613
-28.71002,27,284.571545
-863.403697,1000,303.127172
18.543661,42,303.237248
-165.036254,166,303.668297
-46.629081,53,303.803716
-17.284349,123,304.116608
-823.244021,1000,306.689618
-73.59475,55,306.832788
-871.099479,1000,325.305651
-51.8387,53,325.443623
-168.239469,194,325.943553
-22.753052,13,325.977137
-32.300825,119,326.285018
-19.154948,17,326.329962
-850.344613,1000,344.603932
-165.389738,158,345.008167
-50.963851,38,345.104723
-105.712593,86,345.323452
-2.094944,9,345.347177
-855.174465,1000,347.90755
-14.845725,24,347.96887
-11.701346,23,348.027206
-181.966097,162,348.434755
-46.555911,40,348.535244
-150.315431,132,348.868116
-31.918232,44,348.980036
-69.330835,164,349.39514
-30.335463,43,349.503966
-68.913015,128,365.644555
-30.013214,43,365.754509
-59.285291,52,365.886155
-38.12052,87,366.107451
-726.263594,1000,368.666716
-9.721057,26,368.733131
-121.350811,116,369.028755
-8.150798,9,369.051825
-179.23884,102,369.313416
-494.491548,524,386.389851
-19.414054,66,386.55707
-150.108184,83,386.767198
-221.845719,319,387.577755
-17.762758,16,387.618575
-48.927346,60,387.770093
-260.073131,232,388.356042
2.221293,35,388.444714
4.758931,19,388.492756
7.241942,55,388.630669
-113.970166,98,388.8784
-62.186112,110,389.1595
-24.889058,32,389.241579
-115.003093,191,389.732913
-74.151999,84,389.951197
-9.01585,10,389.977067
-43.435617,47,390.097315
-8.698841,21,390.151599
-20.898757,21,390.206167
-760.424189,1000,408.54528
-800.776755,1000,412.814637
-31.273547,18,412.863209
-97.004285,147,413.241866
-160.505712,234,413.849219
-154.820103,126,414.175652
-10.027756,44,414.288587
-36.261234,40,430.078369
-87.528049,88,430.305673
-31.290992,41,430.41171
-770.008728,1000,432.983654
-701.935821,1000,451.23176
-62.307565,73,451.418732
-168.418365,138,451.771508
-15.222577,38,451.867697
-36.760196,24,451.929258
-29.502551,32,452.010761
-41.5532,44,452.122782
-7.037087,45,452.237925
-42.193795,79,452.440235
-60.90439,99,452.696066
-2.161341,21,452.74931
-3.837532,26,452.817119
-107.305559,251,453.460529
-8.489041,18,453.507307
-72.590999,38,453.604553
-10.953229,14,453.640777
-29.910175,34,453.728709
-34.144226,41,453.834537
-138.115541,186,454.305926
-14.330854,18,454.3516
-105.589339,123,454.665672
-757.515972,1000,473.016433
-84.747335,242,473.633261
-12.138823,30,473.709823
-32.733547,90,473.940112
3.002519,56,474.083455
-24.316263,29,474.158751
33.31055,78,474.358603
-64.937651,56,474.501509
-23.237948,25,474.565951
-202.652449,290,475.313895
-53.421384,63,475.476776
-57.096339,75,475.667821
-112.42951,80,475.872576
-46.045314,63,476.035448
-32.842788,45,476.152713
-61.034291,52,476.287511
-62.326523,75,476.481631
7.748133,47,476.602289
-690.138903,1000,495.039449
-52.190294,134,495.380217
-10.973094,22,495.435957
-60.289949,117,495.732837
-66.162383,130,496.061382
-36.908228,108,496.335928
-120.387266,75,496.527581
-40.28071,75,496.717168
-11.706566,9,496.740356
-36.75507,24,496.801254
-6.705347,41,496.905799
-687.205097,1000,515.308786
-88.875895,92,515.546319
-43.895067,74,515.736044
-166.573862,224,516.31077
22.339912,53,516.447729
-0.411271,74,516.638351
-4.587967,109,516.920459
-23.193104,47,517.042085
-765.691627,1000,535.619224
-717.095602,1000,564.435103
-23.529135,103,564.700427
-22.314092,29,564.774622
-22.84877,22,564.830736
-13.072174,40,564.938364
-16.294508,13,564.974082
-17.864327,41,565.080157
-6.192681,18,565.12608
-54.327606,84,565.341373
-7.588795,8,565.362053
-281.242111,420,566.429755
-42.885237,48,566.555225
-57.58745,69,566.728303
-261.774195,342,583.287805
-698.695534,1000,585.846959
-53.243882,72,586.030199
-165.449408,169,586.459871
-117.005719,104,586.724919
-4.657319,47,586.843977
-26.025894,35,586.933429
9.475111,54,587.071225
-625.640699,1000,605.399525
-41.191062,106,605.669476
-664.107228,1000,608.210924
-592.525747,1000,626.381031
-3.025178,23,626.439612
-115.163751,125,626.754918
-111.164274,86,626.971375
-76.743641,93,627.206987
-59.84452,101,627.462387
-87.962967,93,627.695251
-87.600695,87,627.913796
-547.727418,1000,646.137067
-9.362729,21,646.192112
-80.984567,387,647.184973
-21.777897,29,647.259608
-47.204869,53,647.395485
-10.609321,11,647.424244
-13.196959,41,647.530658
-82.13438,138,647.885222
-10.746373,34,647.972989
-4.845835,17,648.016719
-40.276178,108,648.287096
-64.303099,122,648.592197
-595.87696,1000,666.798156
-379.474801,583,668.273124
-8.175606,75,668.461639
-157.720153,340,669.327365
-515.671452,1000,687.558703
-0.433435,21,687.613357
-15.669593,28,687.683199
-42.870697,55,687.821515
-593.609388,1000,692.008138
-22.099324,43,692.119172
-102.569173,95,692.362164
-39.425829,47,692.481825
-11.575781,20,692.532955
-38.451384,182,692.995092
-96.06282,108,693.271842
-92.885256,153,693.665366
-33.38879,78,693.863953
0.00257,16,693.904836
-26.772633,18,693.950481
-48.184626,74,709.822364
-15.550381,31,709.903752
-28.346618,19,709.952255
-5.640095,11,709.979906
-47.883204,95,710.221438
-40.608062,73,710.408501
-29.756806,114,710.703632
-109.8352,117,711.003702
-74.653852,166,711.425875
-7.04504,18,711.47188
-14.604638,31,711.550538
-37.993786,92,711.784606
-5.462903,76,711.978993
-213.555819,312,712.778127
-35.959751,216,713.326929
-63.761101,88,713.553688
-368.558775,581,730.690345
-6.151589,26,730.759247
-508.351018,1000,733.314724
-119.468312,202,733.825975
-171.989984,195,734.317578
-85.785362,135,734.656101
-355.70018,563,751.748771
-29.973409,39,751.847615
-475.535582,1000,754.395798
-90.458689,123,754.704706
-43.959736,113,754.990554
-8.494546,35,755.078871
-49.586836,128,755.402773
-58.652939,74,755.590962
-60.559093,293,756.337062
-428.204678,1000,774.619684
-24.602849,54,774.756536
-490.110384,1000,777.308988
-8.929236,30,777.384969
-81.422942,200,793.884063
8.707674,75,794.075529
27.156171,54,794.212573
-26.511036,28,794.284522
-31.832325,44,794.397041
-488.824878,1000,796.958455
-41.037567,71,797.138412
-15.527536,38,797.234123
-31.381338,62,797.390928
-24.207282,33,797.475332
-3.189621,56,797.618192
-28.953099,31,797.697256
-60.959464,143,798.058707
-478.674602,1000,816.283092
-30.955854,213,816.817475
-91.204309,71,816.995829
-1.275577,130,817.321697
-147.031102,309,841.955288
-53.912654,169,842.383663
-447.69042,1000,860.595032
-88.511691,308,861.382747
-22.881975,12,861.413132
-7.200442,17,861.455466
-5.620604,71,861.634022
-153.718209,311,862.410172
-27.613718,60,862.56074
-7.288849,16,862.601454
-3.361882,58,862.746487
-29.371709,39,862.844517
-30.55673,62,863.001004
-15.900009,68,863.170639
-0.983232,12,863.201437
-6.173834,23,863.259863
-45.978208,151,863.638349
50.487185,113,863.920745
-89.580884,160,864.323898
-11.767004,34,880.476075
-14.288141,144,880.840921
-24.28973,53,880.974968
-11.385846,53,881.108683
-141.802634,153,881.495934
-36.553393,167,881.921914
-63.412608,202,882.435345
-30.536492,33,882.518212
-55.449861,66,882.683513
-19.282535,59,882.83399
-35.483251,220,883.393868
-66.601175,243,884.010834
-81.14168,145,884.377487
-59.718868,81,884.584041
-343.721536,1000,902.975058
-248.823202,367,903.908216
-74.937294,103,904.168174
-9.852772,56,904.310809
-88.088279,97,904.557808
19.803266,102,904.81758
-89.059471,270,905.501646
13.186886,124,905.817173
-55.761202,360,922.67675
-7.564941,82,922.888113
31.72858,123,923.203146
-10.203115,15,923.241654
-15.451681,83,923.453066
8.37977,93,923.689886
-77.77418,67,923.859916
-66.097283,281,924.567775
-14.191782,65,924.732388
-208.832312,514,926.042526
30.256174,288,926.77014
-44.105868,138,927.118836
-84.60013,64,927.281301
-80.766781,274,943.92932
-57.007698,175,944.376651
19.669459,125,944.694896
-95.015805,134,945.03587
-148.209785,273,945.724102
-45.777497,58,945.868974
-38.713813,63,946.026617
-39.34799,172,946.456012
-30.783417,42,946.560826
-309.918713,1000,965.047722
-17.27707,200,965.554445
-215.835885,487,966.787003
-4.45629,40,966.888478
-36.473108,174,967.326803
-92.656479,149,967.701533
-64.272597,223,968.261044
-40.629822,152,968.64273
-95.147315,304,971.065276
4.37854,40,971.166419
-28.271072,90,971.392081
-56.272252,369,988.342758
-9.736496,36,988.435508
-154.591702,249,989.070881
-192.08921,328,989.905365
-8.08211,74,990.091195
-225.373499,509,991.377914
-35.105481,223,991.938809
-208.396897,291,992.680161
-21.708773,39,992.779617
-15.297955,135,1008.990498
-50.073894,376,1009.955035
-11.75837,36,1010.046676
-74.376708,216,1010.59901
-9.688852,29,1010.673287
-174.481637,353,1011.566781
-40.199674,188,1012.046954
24.826931,209,1012.576428
-55.183332,116,1012.871696
-61.590471,97,1013.117032
61.566366,59,1013.266931
-15.948712,41,1013.371388
-54.442455,82,1013.579406
-11.895783,27,1013.6479
-60.242894,136,1013.99369
-220.767775,401,1031.074063
-4.43487,32,1031.156561
-70.992016,150,1031.53826
-102.460237,320,1032.351113
-305.693225,1000,1034.898727
28.3821,64,1035.061828
-28.15448,54,1035.198161
-1.112384,132,1051.47569
-297.334608,1000,1054.016065
-27.675705,59,1054.164974
-219.070179,1000,1072.614178
-30.640859,204,1073.135529
30.508886,53,1073.270392
-15.224633,73,1073.457952
-151.155465,358,1074.375547
3.819614,38,1074.474252
113.926889,500,1075.748448
-10.537975,114,1076.038009
-15.378064,48,1076.160504
3.342244,29,1076.23417
-248.202413,1000,1094.666303
12.582541,288,1095.389157
-20.945819,22,1095.445035
-40.182648,55,1095.584175
-48.871403,267,1096.262776
37.272368,219,1096.82096
-1.26721,14,1096.857032
-42.319909,80,1097.061293
-78.195401,174,1097.506481
-162.909126,479,1139.984662
-0.887962,10,1140.011841
-230.021082,1000,1142.569007
-191.860413,1000,1145.085042
7.549562,14,1145.120223
-15.71415,96,1161.34497
-27.745642,321,1162.160845
-25.701319,320,1162.973694
-276.352043,911,1165.29616
23.771541,141,1165.651678
-56.0676,197,1166.146799
4.52237,22,1166.202157
4.372537,20,1166.252696
61.541876,61,1182.135246
-17.635178,103,1182.394915
-26.672246,171,1182.829256
4.242125,43,1182.9396
33.502175,61,1183.095034
-1.568989,9,1183.118151
-9.862298,62,1183.276353
-100.070148,1000,1185.83515
-44.13037,154,1186.228944
-5.094802,347,1187.113797
-56.34257,363,1203.796289
-83.788732,1000,1206.340686
19.771791,92,1206.574993
16.328143,299,1207.335711
53.510065,91,1207.566309
-71.182449,526,1224.53858
-11.383856,244,1225.15322
-58.039328,298,1225.900464
1.953924,88,1226.123694
-177.673779,564,1227.557471
-52.37897,51,1227.687557
2.391992,192,1228.177448
-10.79384,46,1228.293516
-20.303132,44,1228.406587
-2.471199,38,1228.503451
5.860243,196,1228.995565
-2.015596,293,1245.482843
-169.623417,1000,1248.046598
0.904833,310,1248.825362
-21.328892,320,1249.639573
-114.962358,1000,1269.70906
71.165026,74,1269.897427
50.323814,423,1270.970841
-127.811725,1000,1289.343772
7.243455,186,1289.813545
18.265284,160,1290.21927
-52.112401,791,1292.217315
-40.642182,180,1292.674474
130.601941,795,1311.595587
9.852961,120,1311.899087
-174.261908,797,1313.90779
-25.847063,66,1314.074252
1.277419,25,1314.137088
-1.527088,25,1314.200577
-3.447517,20,1314.252388
17.971885,108,1314.524417
-54.85679,385,1315.492754
-3.136473,22,1315.549218
27.077019,164,1331.754525
87.861897,416,1332.807507
64.91365,493,1334.060309
-37.372809,810,1336.105679
30.535368,420,1352.994311
-26.66855,1000,1355.526978
-91.022892,749,1357.418212
-21.599039,270,1373.91713
97.867353,428,1374.998033
45.323609,1000,1377.541094
-90.197979,162,1377.950023
-54.083082,188,1378.420465
-56.499318,660,1422.449192
64.308587,255,1423.094882
64.020964,349,1423.980429
7.145659,25,1424.043841
-50.844794,189,1424.530545
-18.932954,244,1425.149058
-26.058018,1000,1443.644813
50.15697,1000,1446.177594
-0.784231,40,1446.280428
72.039636,1000,1464.758569
73.165936,1000,1467.276006
103.437334,326,1468.092972
128.248633,1000,1486.35203
-130.310049,1000,1488.861555
355.691761,1000,1507.401225
78.989281,1000,1509.931108
-33.45004,259,1510.584855
54.275751,530,1527.684601
241.45742,1000,1530.20605
-5.344701,949,1550.765986
114.125212,168,1551.188109
63.184756,123,1551.496853
25.514583,85,1551.712753
5.771306,56,1551.854083
82.166306,257,1552.501593
8.091545,17,1552.544486
31.058569,254,1553.186536
53.10348,1000,1571.713373
5.81642,484,1572.934731
115.504572,1000,1575.489669
56.162297,369,1592.201388
195.741023,1000,1594.747001
90.684233,1000,1612.938721
125.623655,236,1613.533281
21.90866,174,1613.97326
-15.904883,66,1614.14014
176.898186,531,1615.467564
195.78803,1000,1618.000574
227.607179,1000,1637.406969
-2.064341,1000,1639.92841
366.828252,869,1657.902104
202.680775,1000,1660.445498
420.47211,1000,1704.550197
103.270235,493,1705.786665
282.98531,1000,1723.994279
20.571216,1000,1726.519511
-14.596584,375,1727.465582
401.151372,1000,1745.531992
129.129601,1000,1748.05496
162.472095,1000,1766.523918
74.836342,78,1766.720748
-5.954485,40,1766.822587
132.023408,232,1767.408107
525.230257,1000,1769.923378
23.209066,100,1770.17576
0.018604,33,1770.260047
38.549365,118,1786.405219
15.874212,24,1786.466658
-0.507004,517,1787.769971
134.34766,1000,1790.288497
207.804275,1000,1808.63507
567.059097,1000,1811.154483
22.909157,66,1811.322991
690.109702,895,1829.218642
494.826484,1000,1833.403796
1.482048,108,1833.67794
333.70457,305,1834.445339
278.654815,1000,1853.085422
491.714025,1000,1855.606715
201.410612,437,1872.324882
791.884118,1000,1874.849039
219.625097,327,1875.668637
856.486549,1000,1894.05804
536.586983,1000,1896.575062
118.097772,336,1897.420397
691.224084,759,1915.272855
282.251769,1000,1917.786068
93.809434,113,1918.072723
422.095593,1000,1936.48779
714.148886,1000,1939.010066
365.694944,1000,1957.520621
697.198977,918,1985.708268
66.868381,106,1985.976427
261.048655,1000,2004.735942
348.609318,974,2007.188081
1068.948669,1000,2025.536622
461.498162,1000,2028.061932
