#{"t_start": 1650870550.7331975, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-71.435627,45,0.509136
-17.040324,39,0.606453
-102.79795,99,0.849858
-32.981457,23,0.906667
-15.116269,23,0.963309
-121.493829,113,1.243754
-96.538507,82,1.446875
-28.700851,26,1.511403
-30.365406,24,1.571475
-126.50589,105,1.832234
-236.524629,178,2.278754
-34.138872,26,2.343593
-157.73976,136,2.682509
-19.393419,52,2.813157
-28.499906,52,2.942596
-54.610563,56,3.085541
-163.058798,114,3.371778
-109.063176,86,3.587702
-1101.654659,1000,22.163117
-108.64346,109,22.436368
-120.369778,115,22.726139
-73.604262,73,22.907514
-17.724224,24,22.967945
-106.268465,100,23.218601
-60.422318,43,23.328109
-108.390822,93,23.559794
-24.199296,20,23.61011
-20.474484,46,23.724613
-23.68545,17,23.767617
-243.531932,211,24.291984
-12.697924,16,24.332457
-74.657803,53,24.466247
-57.481043,31,24.544114
-29.104796,21,24.596861
-75.03181,55,24.733751
-35.544074,48,24.853727
-10.95944,14,24.88903
-61.338872,52,25.019258
-64.766431,30,25.093897
-17.276043,11,25.121541
-4.134394,12,25.151734
-1076.230226,1000,43.377626
3.454804,15,43.416836
-45.411026,47,43.535351
-23.276645,36,43.626377
-67.109546,85,43.840657
-30.924223,27,43.908761
-128.322893,102,44.163353
-7.462014,10,44.18885
-1054.47335,1000,46.708814
-235.954477,135,47.048574
-14.575647,28,47.119527
-1053.75044,1000,65.360002
-60.543399,73,65.547417
-223.52527,131,65.873155
-200.873678,213,66.408099
-160.062032,183,66.865327
-123.169284,76,67.05445
-23.149844,72,67.232976
-248.047374,195,67.718614
-35.076066,51,67.846437
-53.07719,49,67.969619
-118.631907,96,68.209499
-26.803739,39,68.306816
-18.708306,11,68.334782
-172.689385,115,84.300927
-33.491853,45,84.414329
-34.711973,31,84.492526
-63.968705,53,84.62712
-79.164271,48,84.748606
-86.594928,83,84.956298
-1004.497239,1000,87.486414
-48.952922,60,87.636956
-887.104853,1000,105.849381
-107.402174,90,106.0741
-298.470725,219,106.623547
-10.78226,15,106.661473
-976.211121,1000,109.197385
-21.481616,48,109.31688
-82.102143,74,109.499962
-29.92093,29,109.570789
-40.614691,54,109.70439
-63.791173,39,109.800844
-21.685898,33,109.883219
-13.485115,14,109.919061
-45.250457,32,109.999675
-243.442023,185,126.146159
-4.614775,9,126.169404
-956.194598,1000,130.492134
-7.165228,13,130.525307
-24.634364,19,130.572922
-15.73149,11,130.600672
-139.08744,175,131.04042
-6.388341,15,131.078152
-6.125784,11,131.106082
-29.946798,32,131.186521
-30.390604,55,131.324689
-101.436596,55,131.464115
-36.139748,32,131.54374
-35.487083,45,131.656107
-21.175359,16,131.695753
-11.449916,11,131.723147
-314.238802,383,132.678177
-63.412956,133,148.6837
-67.458149,43,148.792218
-11.329656,27,148.860733
-1.384917,28,148.931237
-81.046278,94,149.166248
-69.242964,83,149.374542
-948.396989,1000,151.898069
-92.68336,104,152.158949
-145.839089,159,152.560037
-3.962538,35,152.648142
-127.278294,108,152.920219
-59.938056,49,153.04441
-76.693874,114,153.330151
-78.791831,34,153.416932
-21.78875,16,153.458159
-69.076361,68,169.31427
-977.143446,1000,171.826665
-10.811034,29,171.899893
-130.509738,130,172.228684
-13.389246,12,172.258911
-89.36064,52,172.390959
-38.425867,31,172.469613
-38.928022,47,172.589952
-32.193084,31,172.670211
-22.010636,11,172.698585
-34.920751,51,172.827776
-37.61548,43,172.936587
-102.460268,161,173.344028
-133.199699,124,173.657221
