#{"t_start": 1650938243.574654, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-71.001407,101,0.648811
-17.325198,18,0.693685
-68.32294,55,0.832347
-11.710088,10,0.857667
-45.692288,48,0.976468
-40.540512,44,1.085346
-124.704013,100,1.333072
-83.892108,76,1.522599
-61.669597,53,1.655184
-103.144827,123,1.959508
-28.006632,30,2.034559
-21.464046,16,2.074335
-25.006508,15,2.112064
-60.106431,69,2.283399
-164.37943,117,2.575096
-96.431238,57,2.717631
-136.036262,125,3.029653
-1058.441119,1000,21.743099
-59.092112,71,21.921804
-195.765791,151,22.298613
-15.222764,15,22.335783
-1125.499233,1000,24.860678
-91.372658,91,25.090194
-198.089685,158,25.486654
-104.181822,69,25.658472
-106.75492,105,25.920539
-0.574371,12,25.950783
-25.507222,24,26.011264
-70.117446,46,26.125877
-107.144894,69,26.298152
-138.36535,119,26.596268
-23.220104,17,26.6396
-42.86669,70,26.81276
-87.165575,87,42.8792
-59.958182,49,43.003004
-127.95143,143,43.36467
-120.106139,98,43.611698
-16.931397,56,43.753421
-94.69961,67,43.921969
-16.1828,12,43.952617
-11.468933,70,44.129962
-8.845019,10,44.155611
-71.742322,58,44.302834
-60.002905,66,44.470244
-1097.481336,1000,47.001313
-70.905244,95,47.237437
-30.786747,20,47.287918
-94.815432,94,47.522469
-120.153996,108,47.793622
-165.352734,127,63.915317
-53.36546,49,64.037043
-46.003516,40,64.137212
-1005.666287,1000,66.664799
-226.765729,199,67.166444
-42.903919,67,67.334551
-29.72083,40,67.4357
-39.652783,32,67.515958
-1028.688651,1000,85.772344
-56.473542,31,85.850805
-60.541631,51,85.979582
-93.555815,69,86.15359
-21.69453,20,86.204687
-106.163834,246,86.823521
-10.998452,12,86.853632
-275.261539,275,87.54887
-975.237462,1000,105.465816
-47.903459,54,105.600158
-23.053678,29,105.67298
-25.00767,34,105.757529
-36.977603,28,105.827338
-52.488899,27,105.894521
-35.085625,29,105.967017
-60.671982,39,106.064474
-80.896821,55,106.20255
-111.180554,161,106.602578
-64.26839,111,106.878397
-137.487911,125,107.190571
-28.944054,17,107.233639
-133.562355,112,107.513418
-46.593388,64,107.672735
-102.595636,85,107.885342
-31.728675,23,107.942576
-44.565532,44,108.054184
-81.778106,53,108.187763
-79.220076,63,108.346097
-67.591948,82,108.551054
-94.252381,66,108.717775
