#{"t_start": 1650938243.5825984, "env_id": "NewRandomGoalAnt-v2"}
r,l,t
-86.727163,77,0.581126
-65.614869,64,0.742506
-20.592268,32,0.822014
-3.746315,23,0.879906
-247.664887,156,1.266297
-40.108361,27,1.333728
-46.56193,38,1.428163
-11.173109,11,1.455527
0.030519,47,1.572569
-28.342155,51,1.69981
-34.303049,52,1.827905
-276.735142,183,2.283459
-72.374439,94,2.517568
-36.793673,63,2.675037
-69.694307,72,2.854611
-33.425274,31,2.932069
-66.669211,58,3.078299
-17.638048,21,3.130469
-59.350218,46,3.244258
-156.788566,137,3.586056
-76.199714,71,3.764793
-28.829183,20,3.815415
-50.17278,45,3.928319
-43.97864,26,3.994279
-53.057962,71,4.174143
-243.387963,196,4.667244
-18.479853,20,4.717776
-16.143411,22,4.773425
-186.878154,201,5.279159
-100.291233,108,21.752024
-22.647809,30,21.826598
-194.315416,131,22.153304
-51.44011,44,22.262137
-22.936095,41,22.364802
-109.288341,80,22.563354
-76.584925,100,22.8139
-1152.186467,1000,25.345065
-165.669101,114,25.628473
-51.095981,56,25.768168
-26.102696,29,25.840792
-69.885022,41,25.943476
-8.255492,16,25.983767
-90.283898,77,26.175776
-99.723069,110,26.450722
-25.41967,14,26.486149
7.279792,24,26.54627
-1087.100593,1000,44.921251
-62.965445,124,45.232894
-18.959995,29,45.305787
-29.638665,26,45.371777
0.773783,28,45.442714
-2.25452,15,45.480779
-1026.051061,1000,63.802907
-52.93712,63,63.9601
-85.114965,40,64.059802
-244.596112,199,64.55828
-1035.434514,1000,67.088623
-23.909405,26,67.153598
-81.476922,68,67.324071
-26.464135,46,67.440933
-0.536276,14,67.475809
-119.324923,59,67.623674
-197.717526,125,67.937188
-89.666054,106,68.204661
-51.094627,56,68.346318
-1077.547603,1000,86.6043
-50.328881,71,86.782982
-948.893118,1000,89.314717
-102.475304,110,89.591351
-12.790357,49,89.714555
-28.184716,17,105.146365
-54.035429,60,105.297768
-311.626427,242,105.902142
-7.091321,14,105.936922
-25.055887,48,106.0572
-24.004186,19,106.104761
-126.83031,85,106.31636
-42.927912,38,106.410742
2.416096,25,106.473283
-79.898032,92,106.702401
-112.018211,73,106.883622
-109.30728,151,107.261237
-8.196122,12,107.291352
-3.606355,9,107.31386
-127.153712,100,107.563564
-108.328061,83,107.770033
-40.531811,66,107.93528
-961.249801,1000,125.966683
-25.944312,24,126.026888
-18.53554,20,126.076508
-153.596723,95,126.313079
-101.757076,59,128.221417
-13.529322,16,128.262178
-44.462985,45,128.37625
-21.055229,39,128.474294
-55.299818,78,128.671959
-26.417589,27,128.740105
-89.241425,68,128.91176
-52.754041,46,129.028672
-88.532472,61,129.183411
-443.389602,409,130.215445
-179.642168,154,130.599832
-5.573671,9,130.622571
-42.960626,44,130.732091
-126.234396,103,130.990779
-974.053067,1000,149.516553
-64.806028,57,149.658826
-31.461002,24,149.723997
-14.274839,10,149.750033
-28.861338,16,149.790739
-18.725176,24,149.851299
-44.782451,30,149.927637
-935.343619,1000,152.452997
-8.5289,30,152.528696
-163.627656,226,153.0927
-42.03126,32,153.172745
-55.477996,67,153.340709
-214.883423,142,153.6954
-25.624378,65,153.85807
-146.569287,102,169.831691
-95.566066,136,170.174343
-225.089246,195,170.66135
-1004.434067,1000,173.188397
-949.934613,1000,191.634281
-87.508259,58,191.781201
-9.830676,10,191.80634
-961.353266,1000,194.320823
-92.532997,77,194.514196
-139.249883,101,194.76946
-950.868653,1000,212.985316
-259.84049,180,213.437373
-144.881498,103,213.696469
-83.757713,59,213.845484
-57.253947,35,213.934007
-57.177084,29,214.007715
-63.484066,59,214.157099
-30.254105,26,214.223156
-130.515528,110,214.501932
-30.495543,34,214.588918
-3.717124,22,214.644289
-20.601946,15,214.682657
-72.464676,40,214.784037
-81.869465,82,214.991125
-43.409371,43,215.099878
-38.786235,70,215.27521
-131.167378,122,215.580925
-117.308481,185,216.044582
-885.982786,1000,234.856872
-106.392509,74,235.041427
-70.785394,87,235.259434
-95.918279,117,235.55163
-14.993767,38,235.645978
-6.409968,22,235.701517
-213.308374,154,236.087027
-47.546896,49,236.209686
-29.901802,19,236.257383
-21.494349,39,236.355611
-174.314616,127,236.676987
-181.104084,248,237.30699
-851.918197,1000,284.171989
-47.82,60,284.323001
-19.741986,67,284.490469
-4.845633,33,284.573687
-22.662977,74,284.761841
-36.719759,33,284.845486
-81.610928,102,285.105068
-58.736968,64,285.267232
-13.110549,29,285.340959
-49.195674,93,285.577589
-130.569373,140,285.932817
-16.321229,18,285.977929
-28.71002,27,286.047993
-863.403697,1000,304.354671
18.543661,42,304.461078
-165.036254,166,304.882308
-46.629081,53,305.016827
-17.284349,123,305.324415
-823.244021,1000,307.854457
-73.59475,55,307.992578
-871.099479,1000,326.365086
-51.8387,53,326.499295
-168.239469,194,326.988611
-22.753052,13,327.021503
-32.300825,119,327.322541
-19.154948,17,327.366296
-850.344613,1000,345.794866
-165.389738,158,346.18949
-50.963851,38,346.283909
-105.712593,86,346.497435
-2.094944,9,346.520431
-855.174465,1000,349.031844
-14.845725,24,349.092105
-11.701346,23,349.149751
-181.966097,162,349.553681
-46.555911,40,349.653002
-150.315431,132,349.983611
-31.918232,44,350.094417
-69.330835,164,350.499906
-30.335463,43,350.606397
-68.913015,128,366.868984
-30.013214,43,366.975323
-59.285291,52,367.104627
-38.12052,87,367.321289
-726.263594,1000,369.846342
-9.721057,26,369.912513
-121.350811,116,370.203803
-8.150798,9,370.226751
-179.23884,102,370.482445
-494.491548,524,387.769135
-19.414054,66,387.934223
-150.108184,83,388.141667
-221.845719,319,388.939818
-17.762758,16,388.979995
-48.927346,60,389.129591
-260.073131,232,389.70692
2.221293,35,389.794347
4.758931,19,389.842071
7.241942,55,389.978314
-113.970166,98,390.22199
-62.186112,110,390.4958
-24.889058,32,390.576082
-115.003093,191,391.055212
-74.151999,84,391.266773
-9.01585,10,391.292041
-43.435617,47,391.410667
-8.698841,21,391.46387
-20.898757,21,391.516929
-760.424189,1000,409.928063
-800.776755,1000,414.089145
-31.273547,18,414.134683
-97.004285,147,414.504359
-160.505712,234,415.09495
-154.820103,126,415.413406
-10.027756,44,415.523489
-36.261234,40,431.57151
-87.528049,88,431.79311
-31.290992,41,431.896009
-770.008728,1000,434.420389
-701.935821,1000,452.966254
-62.307565,73,453.149163
-168.418365,138,453.494669
-15.222577,38,453.589873
-36.760196,24,453.650733
-29.502551,32,453.732782
-41.5532,44,453.842456
-7.037087,45,453.955221
-42.193795,79,454.153235
-60.90439,99,454.400738
-2.161341,21,454.453487
-3.837532,26,454.519605
-107.305559,251,455.15056
-8.489041,18,455.196468
-72.590999,38,455.291727
-10.953229,14,455.327769
-29.910175,34,455.414654
-34.144226,41,455.518539
-138.115541,186,455.983945
-14.330854,18,456.029552
-105.589339,123,456.340627
-757.515972,1000,474.7082
-84.747335,242,475.313843
-12.138823,30,475.388776
-32.733547,90,475.615235
3.002519,56,475.756285
-24.316263,29,475.829457
33.31055,78,476.025917
-64.937651,56,476.166619
-23.237948,25,476.229781
-202.652449,290,476.959275
-53.421384,63,477.119219
-57.096339,75,477.308131
-112.42951,80,477.509602
-46.045314,63,477.669935
-32.842788,45,477.784454
-61.034291,52,477.917044
-62.326523,75,478.10796
7.748133,47,478.225995
-690.138903,1000,496.657618
-52.190294,134,496.99293
-10.973094,22,497.047986
-60.289949,117,497.340268
